18x12;	borehole field
4
216
0	0
0	4
0	8
0	12
0	16
0	20
0	24
0	28
0	32
0	36
0	40
0	44
4	0
4	4
4	8
4	12
4	16
4	20
4	24
4	28
4	32
4	36
4	40
4	44
8	0
8	4
8	8
8	12
8	16
8	20
8	24
8	28
8	32
8	36
8	40
8	44
12	0
12	4
12	8
12	12
12	16
12	20
12	24
12	28
12	32
12	36
12	40
12	44
16	0
16	4
16	8
16	12
16	16
16	20
16	24
16	28
16	32
16	36
16	40
16	44
20	0
20	4
20	8
20	12
20	16
20	20
20	24
20	28
20	32
20	36
20	40
20	44
24	0
24	4
24	8
24	12
24	16
24	20
24	24
24	28
24	32
24	36
24	40
24	44
28	0
28	4
28	8
28	12
28	16
28	20
28	24
28	28
28	32
28	36
28	40
28	44
32	0
32	4
32	8
32	12
32	16
32	20
32	24
32	28
32	32
32	36
32	40
32	44
36	0
36	4
36	8
36	12
36	16
36	20
36	24
36	28
36	32
36	36
36	40
36	44
40	0
40	4
40	8
40	12
40	16
40	20
40	24
40	28
40	32
40	36
40	40
40	44
44	0
44	4
44	8
44	12
44	16
44	20
44	24
44	28
44	32
44	36
44	40
44	44
48	0
48	4
48	8
48	12
48	16
48	20
48	24
48	28
48	32
48	36
48	40
48	44
52	0
52	4
52	8
52	12
52	16
52	20
52	24
52	28
52	32
52	36
52	40
52	44
56	0
56	4
56	8
56	12
56	16
56	20
56	24
56	28
56	32
56	36
56	40
56	44
60	0
60	4
60	8
60	12
60	16
60	20
60	24
60	28
60	32
60	36
60	40
60	44
64	0
64	4
64	8
64	12
64	16
64	20
64	24
64	28
64	32
64	36
64	40
64	44
68	0
68	4
68	8
68	12
68	16
68	20
68	24
68	28
68	32
68	36
68	40
68	44
