R56_N129;	borehole field
8
130
0.0	0.0
8.0	0.0
4.0	6.928
-4.0	6.928
-8.0	0.0
-4.0	-6.928
4.0	-6.928
16.0	0.0
13.856	8.0
8.0	13.856
0.0	16.0
-8.0	13.856
-13.856	8.0
-16.0	0.0
-13.856	-8.0
-8.0	-13.856
-0.0	-16.0
8.0	-13.856
13.856	-8.0
24.0	0.0
22.553	8.208
18.385	15.427
12.0	20.785
4.168	23.635
-4.168	23.635
-12.0	20.785
-18.385	15.427
-22.553	8.208
-24.0	0.0
-22.553	-8.208
-18.385	-15.427
-12.0	-20.785
-4.168	-23.635
4.168	-23.635
12.0	-20.785
18.385	-15.427
22.553	-8.208
32.0	0.0
30.995	7.958
28.042	15.416
23.327	21.906
17.146	27.018
9.889	30.434
2.009	31.937
-5.996	31.433
-13.625	28.954
-20.398	24.656
-25.889	18.809
-29.753	11.78
-31.748	4.011
-31.748	-4.011
-29.753	-11.78
-25.889	-18.809
-20.398	-24.656
-13.625	-28.954
-5.996	-31.433
2.009	-31.937
9.889	-30.434
17.146	-27.018
23.327	-21.906
28.042	-15.416
30.995	-7.958
40.0	0.0
39.181	8.052
36.758	15.774
32.831	22.851
27.559	28.992
21.159	33.946
13.892	37.51
6.057	39.539
-2.026	39.949
-10.026	38.723
-17.616	35.912
-24.484	31.631
-30.35	26.055
-34.974	19.412
-38.166	11.975
-39.795	4.047
-39.795	-4.047
-38.166	-11.975
-34.974	-19.412
-30.35	-26.055
-24.484	-31.631
-17.616	-35.912
-10.026	-38.723
-2.026	-39.949
6.057	-39.539
13.892	-37.51
21.159	-33.946
27.559	-28.992
32.831	-22.851
36.758	-15.774
39.181	-8.052
48.0	0.0
47.31	8.112
45.258	15.991
41.905	23.409
37.346	30.155
31.712	36.032
25.167	40.873
17.897	44.539
10.113	46.923
2.037	47.957
-6.097	47.611
-14.055	45.896
-21.61	42.86
-28.542	38.592
-34.654	33.213
-39.768	26.879
-43.739	19.771
-46.451	12.095
-47.827	4.071
-47.827	-4.071
-46.451	-12.095
-43.739	-19.771
-39.768	-26.879
-34.654	-33.213
-28.542	-38.592
-21.61	-42.86
-14.055	-45.896
-6.097	-47.611
2.037	-47.957
10.113	-46.923
17.897	-44.539
25.167	-40.873
31.712	-36.032
37.346	-30.155
41.905	-23.409
45.258	-15.991
47.31	-8.112
