Hour, "Heat, demand, [kW]"
0, 6770
1, 6727
2, 6909
3, 7490
4, 9538
5, 13756
6, 18364
7, 17502
8, 16920
9, 14573
10, 13073
11, 11570
12, 10568
13, 10561
14, 10080
15, 10600
16, 11164
17, 12645
18, 13439
19, 13957
20, 12985
21, 11350
22, 7393
23, 4769
24, 4212
25, 5295
26, 4814
27, 4703
28, 5701
29, 9097
30, 13341
31, 13460
32, 13135
33, 10722
34, 9009
35, 8234
36, 7144
37, 7640
38, 8417
39, 7104
40, 5810
41, 7801
42, 7010
43, 9126
44, 10030
45, 10371
46, 7237
47, 6074
48, 6515
49, 6532
50, 6503
51, 7050
52, 8716
53, 13367
54, 17554
55, 16414
56, 15103
57, 13574
58, 11583
59, 10287
60, 9223
61, 9860
62, 9526
63, 9398
64, 10383
65, 11491
66, 11534
67, 13112
68, 12630
69, 11241
70, 7781
71, 7118
72, 6898
73, 6727
74, 7044
75, 7930
76, 10452
77, 16085
78, 21929
79, 20923
80, 19645
81, 17710
82, 16460
83, 15162
84, 14360
85, 13833
86, 12964
87, 12676
88, 13617
89, 14721
90, 17130
91, 19513
92, 19250
93, 18416
94, 13300
95, 11621
96, 11631
97, 12063
98, 12384
99, 13577
100, 17578
101, 25532
102, 33594
103, 32739
104, 31907
105, 29975
106, 28246
107, 26709
108, 25367
109, 23999
110, 22723
111, 22399
112, 22987
113, 24062
114, 24868
115, 25673
116, 25042
117, 23309
118, 16332
119, 13382
120, 12911
121, 12909
122, 13127
123, 14237
124, 17852
125, 25791
126, 33756
127, 32895
128, 31604
129, 29547
130, 27975
131, 26324
132, 25000
133, 23882
134, 22501
135, 22290
136, 23210
137, 24870
138, 25939
139, 27001
140, 26815
141, 24940
142, 17576
143, 14427
144, 13934
145, 14015
146, 14547
147, 15924
148, 19953
149, 28638
150, 37483
151, 36782
152, 35540
153, 32257
154, 29330
155, 27735
156, 26468
157, 25518
158, 24054
159, 24148
160, 24994
161, 26600
162, 27725
163, 28813
164, 28943
165, 27005
166, 18975
167, 15797
168, 15469
169, 15577
170, 16034
171, 17464
172, 21963
173, 31485
174, 40723
175, 39736
176, 38114
177, 34966
178, 32175
179, 29659
180, 28180
181, 27037
182, 25607
183, 25349
184, 26221
185, 27522
186, 28796
187, 30021
188, 30125
189, 27984
190, 19830
191, 16254
192, 15725
193, 15903
194, 16439
195, 17831
196, 22146
197, 31615
198, 40561
199, 39736
200, 38720
201, 36107
202, 34071
203, 32225
204, 30749
205, 29375
206, 27936
207, 27316
208, 28117
209, 29367
210, 30582
211, 31591
212, 31662
213, 29397
214, 20763
215, 17298
216, 16876
217, 17009
218, 17588
219, 19224
220, 24156
221, 34721
222, 44611
223, 42846
224, 41445
225, 38674
226, 36374
227, 33893
228, 31850
229, 30193
230, 28379
231, 27753
232, 28564
233, 29944
234, 31177
235, 32074
236, 31425
237, 28853
238, 20219
239, 16580
240, 15917
241, 15968
242, 16507
243, 18051
244, 22603
245, 32520
246, 41857
247, 40513
248, 39022
249, 36535
250, 34207
251, 31969
252, 29770
253, 28089
254, 26272
255, 25568
256, 26221
257, 27407
258, 28677
259, 29779
260, 29652
261, 27658
262, 19597
263, 16254
264, 15853
265, 16163
266, 16912
267, 18418
268, 23425
269, 33944
270, 44125
271, 43001
272, 41293
273, 38674
274, 36374
275, 32610
276, 30015
277, 27855
278, 26161
279, 26333
280, 28117
281, 30290
282, 32249
283, 33523
284, 32726
285, 30376
286, 21230
287, 17624
288, 17324
289, 17529
290, 17926
291, 19518
292, 24156
293, 34203
294, 43315
295, 40824
296, 38114
297, 33968
298, 30684
299, 27991
300, 26224
301, 23882
302, 22390
303, 22399
304, 22987
305, 23486
306, 23915
