Hour	Mass flow rate [kg/h]	Temperature [C]
0	0.083831687	80
1	0.092450532	80
2	0.079014618	80
3	0.120499074	80
4	0.096951435	80
5	0.14240076	80
6	0.131498066	80
7	0.135396139	80
8	0.095719615	80
9	0.08808322	80
10	0.085812173	80
11	0.080234749	80
12	0.090394344	80
13	0.065357166	80
14	0.125348427	80
15	0.121763735	80
16	0.158251888	80
17	0.164792837	80
18	0.198970422	80
19	0.174496553	80
20	0.116394491	80
21	0.111531779	80
22	0.090930378	80
23	0.08451801	80
24	0.104367962	80
25	0.085153124	80
26	0.071564694	80
27	0.102480989	80
28	0.104897316	80
29	0.121389681	80
30	0.138133085	80
31	0.1411656	80
32	0.101302049	80
33	0.056687111	80
34	0.06243542	80
35	0.055747521	80
36	0.065761835	80
37	0.09460914	80
38	0.118020961	80
39	0.113120398	80
40	0.217900266	80
41	0.136098049	80
42	0.125228195	80
43	0.135889869	80
44	0.10824878	80
45	0.12441329	80
46	0.102154804	80
47	0.088274144	80
48	0.094742731	80
49	0.092698789	80
50	0.080766887	80
51	0.096491103	80
52	0.094020226	80
53	0.082051587	80
54	0.083089143	80
55	0.087358489	80
56	0.061177994	80
57	0.045354142	80
58	0.061033271	80
59	0.055557153	80
60	0.057644513	80
61	0.075498949	80
62	0.095444084	80
63	0.125428025	80
64	0.177856366	80
65	0.128182226	80
66	0.122681617	80
67	0.112296587	80
68	0.117259492	80
69	0.121117489	80
70	0.103076582	80
71	0.088615914	80
72	0.093146319	80
73	0.11166871	80
74	0.095044424	80
75	0.110610558	80
76	0.083699209	80
77	0.136790495	80
78	0.136476557	80
79	0.083944126	80
80	0.089880019	80
81	0.069152263	80
82	0.072566626	80
83	0.060628045	80
84	0.075044739	80
85	0.081871239	80
86	0.086656023	80
87	0.137312614	80
88	0.159034509	80
89	0.153679736	80
90	0.161069545	80
91	0.157350149	80
92	0.145233446	80
93	0.112962316	80
94	0.092157745	80
95	0.114253695	80
96	0.079388116	80
97	0.067637119	80
98	0.105857501	80
99	0.097988992	80
100	0.086348764	80
101	0.139215172	80
102	0.104726988	80
103	0.086366576	80
104	0.082867605	80
105	0.054620347	80
106	0.047237774	80
107	0.058813434	80
108	0.072332842	80
109	0.07844463	80
110	0.082080531	80
111	0.117626868	80
112	0.137450101	80
113	0.144155812	80
114	0.122681617	80
115	0.13638193	80
116	0.090792891	80
117	0.120986681	80
118	0.092868004	80
119	0.093999074	80
120	0.091777011	80
121	0.066788816	80
122	0.084747342	80
123	0.092254042	80
124	0.098321856	80
125	0.104683571	80
126	0.112790874	80
127	0.087986367	80
128	0.0627822	80
129	0.061057763	80
130	0.053202056	80
131	0.038068979	80
132	0.049367438	80
133	0.060678141	80
134	0.069367122	80
135	0.109581907	80
136	0.131080594	80
137	0.125119096	80
138	0.116090571	80
139	0.083307342	80
140	0.09614655	80
141	0.074674024	80
142	0.094281842	80
143	0.075695995	80
144	0.066608468	80
145	0.076029973	80
146	0.095430725	80
147	0.10217707	80
148	0.079849005	80
149	0.100985327	80
150	0.099772988	80
151	0.083750419	80
152	0.0732613	80
153	0.045467694	80
154	0.048365505	80
155	0.038647874	80
156	0.053887823	80
157	0.053119118	80
158	0.07350566	80
159	0.086416672	80
160	0.113914708	80
161	0.120788521	80
162	0.091523188	80
163	0.083944126	80
164	0.107420516	80
165	0.089394638	80
166	0.102450931	80
167	0.086847503	80
168	0.0721614	80
169	0.067519113	80
170	0.055671819	80
171	0.088310325	80
172	0.078117332	80
173	0.098877372	80
174	0.096993739	80
175	0.083473774	80
176	0.047546704	80
177	0.043250083	80
178	0.04537084	80
179	0.037286916	80
180	0.046852587	80
181	0.051248844	80
182	0.063996764	80
183	0.093735789	80
184	0.090432195	80
185	0.11763967	80
186	0.090068716	80
187	0.097085026	80
188	0.070921787	80
189	0.081055221	80
190	0.054687699	80
191	0.064641341	80
192	0.061051083	80
193	0.060828431	80
194	0.0652425	80
195	0.056820702	80
196	0.068517149	80
197	0.065379431	80
198	0.066243319	80
199	0.069383821	80
200	0.054560787	80
201	0.036056209	80
202	0.043383674	80
203	0.034880608	80
204	0.036180893	80
205	0.057083987	80
206	0.07182798	80
207	0.107206214	80
208	0.159460887	80
209	0.128109864	80
210	0.087037871	80
211	0.0963859	80
212	0.059384535	80
213	0.056547953	80
214	0.054738909	80
215	0.062741009	80
216	0.038959586	80
217	0.05693648	80
218	0.044751312	80
219	0.048088304	80
220	0.083014555	80
221	0.075365358	80
222	0.076302164	80
223	0.092125461	80
224	0.062398682	80
