Hour	Heat source [kW]
0	0.083831687
1	0.092450532
2	0.079014618
3	0.120499074
4	0.096951435
5	0.14240076
6	0.131498066
7	0.135396139
8	0.095719615
9	0.08808322
10	0.085812173
11	0.080234749
12	0.090394344
13	0.065357166
14	0.125348427
15	0.121763735
16	0.158251888
17	0.164792837
18	0.198970422
19	0.174496553
20	0.116394491
21	0.111531779
22	0.090930378
23	0.08451801
24	0.104367962
25	0.085153124
26	0.071564694
27	0.102480989
28	0.104897316
29	0.121389681
30	0.138133085
31	0.1411656
32	0.101302049
33	0.056687111
34	0.06243542
35	0.055747521
36	0.065761835
37	0.09460914
38	0.118020961
39	0.113120398
40	0.217900266
41	0.136098049
42	0.125228195
43	0.135889869
44	0.10824878
45	0.12441329
46	0.102154804
47	0.088274144
48	0.094742731
49	0.092698789
50	0.080766887
51	0.096491103
52	0.094020226
53	0.082051587
54	0.083089143
55	0.087358489
56	0.061177994
57	0.045354142
58	0.061033271
59	0.055557153
60	0.057644513
61	0.075498949
62	0.095444084
63	0.125428025
64	0.177856366
65	0.128182226
66	0.122681617
67	0.112296587
68	0.117259492
69	0.121117489
70	0.103076582
71	0.088615914
72	0.093146319
73	0.11166871
74	0.095044424
75	0.110610558
76	0.083699209
77	0.136790495
78	0.136476557
79	0.083944126
80	0.089880019
81	0.069152263
82	0.072566626
83	0.060628045
84	0.075044739
85	0.081871239
86	0.086656023
87	0.137312614
88	0.159034509
89	0.153679736
90	0.161069545
91	0.157350149
92	0.145233446
93	0.112962316
94	0.092157745
95	0.114253695
96	0.079388116
97	0.067637119
98	0.105857501
99	0.097988992
100	0.086348764
101	0.139215172
102	0.104726988
103	0.086366576
104	0.082867605
105	0.054620347
106	0.047237774
107	0.058813434
108	0.072332842
109	0.07844463
110	0.082080531
111	0.117626868
112	0.137450101
113	0.144155812
114	0.122681617
115	0.13638193
116	0.090792891
117	0.120986681
118	0.092868004
119	0.093999074
120	0.091777011
121	0.066788816
122	0.084747342
123	0.092254042
124	0.098321856
125	0.104683571
126	0.112790874
127	0.087986367
128	0.0627822
129	0.061057763
130	0.053202056
131	0.038068979
132	0.049367438
133	0.060678141
134	0.069367122
135	0.109581907
136	0.131080594
137	0.125119096
138	0.116090571
139	0.083307342
140	0.09614655
141	0.074674024
142	0.094281842
143	0.075695995
144	0.066608468
145	0.076029973
146	0.095430725
147	0.10217707
148	0.079849005
149	0.100985327
150	0.099772988
151	0.083750419
152	0.0732613
153	0.045467694
154	0.048365505
155	0.038647874
156	0.053887823
157	0.053119118
158	0.07350566
159	0.086416672
160	0.113914708
161	0.120788521
162	0.091523188
163	0.083944126
164	0.107420516
165	0.089394638
166	0.102450931
167	0.086847503
168	0.0721614
169	0.067519113
170	0.055671819
171	0.088310325
172	0.078117332
173	0.098877372
174	0.096993739
175	0.083473774
176	0.047546704
177	0.043250083
178	0.04537084
179	0.037286916
180	0.046852587
181	0.051248844
182	0.063996764
183	0.093735789
184	0.090432195
185	0.11763967
186	0.090068716
187	0.097085026
188	0.070921787
189	0.081055221
190	0.054687699
191	0.064641341
192	0.061051083
193	0.060828431
194	0.0652425
195	0.056820702
196	0.068517149
197	0.065379431
198	0.066243319
199	0.069383821
200	0.054560787
201	0.036056209
202	0.043383674
203	0.034880608
204	0.036180893
205	0.057083987
206	0.07182798
207	0.107206214
208	0.159460887
209	0.128109864
210	0.087037871
211	0.0963859
212	0.059384535
213	0.056547953
214	0.054738909
215	0.062741009
216	0.038959586
217	0.05693648
218	0.044751312
219	0.048088304
220	0.083014555
221	0.075365358
222	0.076302164
223	0.092125461
224	0.062398682
225	0.046155687
226	0.039365925
227	0.034301713
228	0.040027201
229	0.056889724
230	0.053272748
231	0.079282913
232	0.139976641
233	0.091091244
234	0.089501511
235	0.078863215
236	0.091660119
237	0.084980013
238	0.067650478
239	0.060516719
240	0.04834658
241	0.070803225
242	0.0652425
243	0.05887355
244	0.072690198
245	0.070758695
246	0.083997006
247	0.070874474
248	0.078457989
249	0.050367143
250	0.042397328
251	0.041836245
252	0.057644513
253	0.057360632
254	0.083605695
255	0.147203913
256	0.125784824
257	0.119615704
258	0.137284782
259	0.104134178
260	0.113565702
261	0.065802469
262	0.057408502
263	0.076830406
264	0.061052753
265	0.080288186
266	0.070213198
267	0.084484056
268	0.075079807
269	0.079603532
270	0.099044361
271	0.095456329
272	0.048840866
273	0.040705175
274	0.05932108
275	0.044130114
276	0.038892791
277	0.047441501
278	0.053053436
279	0.116083892
280	0.1583788
281	0.139535234
282	0.095566542
283	0.092200049
284	0.09535391
285	0.112416819
286	0.082353836
287	0.068883968
288	0.099184631
289	0.097073894
290	0.09430522
291	0.106373497
292	0.121650183
293	0.144859391
294	0.098879599
295	0.11522223
296	0.066497142
297	0.063447371
298	0.054358174
299	0.054874726
300	0.064409227
301	0.070956855
302	0.081120903
303	0.175732269
304	0.18699399
305	0.149994295
306	0.174696939
307	0.115250061
308	0.119897915
309	0.088682153
310	0.090172249
311	0.066373014
312	0.055257687
313	0.060767202
314	0.06598226
315	0.083221621
316	0.097337736
317	0.1287216
318	0.134105316
319	0.101907661
320	0.056112669
321	0.068031212
322	0.05442163
323	0.067536926
324	0.052897023
325	0.07844463
326	0.075245126
327	0.09525483
328	0.18002054
329	0.125847723
330	0.106356241
331	0.144966264
332	0.101460688
333	0.125826015
334	0.115631352
335	0.106165317
336	0.083280624
337	0.078337757
338	0.096285707
339	0.120666063
340	0.111915853
341	0.113483877
342	0.128208387
343	0.133400067
344	0.068229372
345	0.084155645
346	0.08110977
347	0.060757183
348	0.076236482
349	0.083577864
350	0.114360568
351	0.164490587
352	0.17617312
353	0.185230589
354	0.162435513
355	0.178310575
356	0.141389365
357	0.144678487
358	0.096078641
359	0.100323495
360	0.100555052
361	0.089773146
362	0.083485463
363	0.133764659
364	0.107281915
365	0.117115882
366	0.141751731
367	0.109686553
368	0.095719615
369	0.07231169
370	0.077485558
371	0.058063098
372	0.059661737
373	0.090766172
374	0.116017096
375	0.121189294
376	0.174787113
377	0.197605011
378	0.163281589
379	0.172592881
380	0.146141865
381	0.085226599
382	0.113893
383	0.099425095
384	0.071057048
385	0.070070145
386	0.067592588
387	0.099274805
388	0.122378811
389	0.108644543
390	0.147531211
391	0.116430115
392	0.101302049
393	0.064424255
394	0.062756038
395	0.07904078
396	0.066778797
397	0.081696457
398	0.081935808
399	0.132445448
400	0.186092251
401	0.202069733
402	0.133302101
403	0.096011845
404	0.109906422
405	0.088910928
406	0.082846453
407	0.058785602
408	0.062146529
409	0.052191774
410	0.058112638
411	0.051169803
412	0.078779721
413	0.086427805
414	0.081632445
415	0.10558364
416	0.075338639
417	0.063235296
418	0.057120725
419	0.057922827
420	0.062400352
421	0.045109225
422	0.083240547
423	0.089657924
424	0.109045316
425	0.084171231
426	0.086802973
427	0.079525604
428	0.057350613
429	0.062714291
430	0.043754389
431	0.048205753
432	0.03944274
433	0.035897013
434	0.03183028
435	0.040901108
436	0.072807647
437	0.05946135
438	0.093840992
439	0.080142905
440	0.051098554
441	0.044702885
442	0.045164888
443	0.056235128
444	0.03949395
445	0.063742941
446	0.084456225
447	0.080849268
448	0.101257518
449	0.122397179
450	0.108970171
451	0.077001847
452	0.057464165
453	0.031610968
454	0.02876548
455	0.01719817
456	0.007850697
457	0.010961141
458	0.015086876
459	0.023756931
460	0.031540833
461	0.053661275
462	0.043083095
463	0.060837337
464	0.035087674
465	0.029772422
466	0.039242354
467	0.036406885
468	0.038990757
469	0.03237355
470	0.04686539
471	0.081612963
472	0.078889933
473	0.090942067
474	0.066519408
475	0.039837947
476	0.019231536
477	0.008723492
478	0.005766121
479	0.006710721
480	0.004939527
481	0.005857965
482	0.005079797
483	0.007469963
484	0.019142476
485	0.023427407
486	0.036076247
487	0.034526592
488	0.029467946
489	0.024867963
490	0.028076373
491	0.02357881
492	0.034441427
493	0.039125462
494	0.040918921
495	0.061132907
496	0.096693159
497	0.06366724
498	0.045304045
499	0.02297765
500	0.010937762
501	0.0072128
502	0.006406801
503	0.006710721
504	0.006586036
505	0.004881637
506	0.006773063
507	0.008963956
508	0.020586372
509	0.027269261
510	0.027292639
511	0.041537892
512	0.022879684
513	0.029670559
514	0.023345026
515	0.02155268
516	0.029801924
517	0.040718534
518	0.042409573
519	0.065042114
520	0.081479372
521	0.069728931
522	0.046150121
523	0.023705721
524	0.008677848
525	0.005901382
526	0.006406801
527	0.006710721
528	0.004939527
529	0.005857965
530	0.006773063
531	0.007469963
532	0.006830953
533	0.021117953
534	0.028193265
535	0.028272307
536	0.031937153
537	0.022104856
538	0.026866818
539	0.039716602
540	0.042989581
541	0.044960605
542	0.042067803
543	0.088423877
544	0.087128044
545	0.100293437
546	0.062009598
547	0.04299793
548	0.03484053
549	0.01324332
550	0.00844963
551	0.007403167
552	0.005488363
553	0.005857965
554	0.005644219
555	0.006492522
556	0.029077749
557	0.032646298
558	0.04567476
559	0.036705795
560	0.029077749
561	0.022697109
562	0.022156066
563	0.022763905
564	0.015714754
565	0.024953684
566	0.031733427
567	0.046311544
568	0.050751218
569	0.046088892
570	0.036920097
571	0.023614434
572	0.031110559
573	0.018756175
574	0.016029806
575	0.012514136
576	0.013507162
577	0.018261888
578	0.017439191
579	0.025789741
580	0.041464417
581	0.038487565
582	0.06430291
583	0.059542618
584	0.033264157
585	0.041880776
586	0.040952318
587	0.034182595
588	0.04023371
589	0.044513632
590	0.047782158
591	0.098797218
592	0.104924591
593	0.083577864
594	0.080655561
595	0.040853795
596	0.033938791
597	0.020719963
598	0.01004159
599	0.006100655
600	0.004939527
601	0.004393474
602	0.006773063
603	0.011346885
604	0.032516047
605	0.033647118
606	0.038870525
607	0.041064201
608	0.041586876
609	0.0284649
610	0.025021593
611	0.03237355
612	0.032813287
613	0.032377447
614	0.047497164
615	0.053187027
616	0.105349856
617	0.081597377
618	0.046990631
619	0.024608017
620	0.011204944
621	0.006557091
622	0.005125441
623	0.006100655
624	0.0060372
625	0.004393474
626	0.006208641
627	0.008216959
628	0.00939256
629	0.012668879
630	0.022270731
631	0.026261762
632	0.019419677
633	0.021458053
634	0.01562124
635	0.019026697
636	0.019713021
637	0.026990947
638	0.037327549
639	0.059281002
640	0.065210772
641	0.051850003
642	0.047979204
643	0.025889934
644	0.00860326
645	0.005901382
646	0.006406801
647	0.00549059
648	0.005488363
649	0.005369801
650	0.004515376
651	0.009037431
652	0.01478407
653	0.02816933
654	0.044764671
655	0.043205553
656	0.036223197
657	0.033157284
658	0.023881616
659	0.029835321
660	0.03237188
661	0.032301188
662	0.047771025
663	0.067201835
664	0.093594962
665	0.094061417
666	0.077326919
667	0.069714459
668	0.043361409
669	0.03381188
670	0.074442467
671	0.073096537
672	0.062899092
673	0.059609414
674	0.065626574
675	0.058147149
676	0.067519113
677	0.05946135
678	0.069193454
679	0.062851222
680	0.0514509
681	0.038891677
682	0.045220551
683	0.042382855
684	0.034947403
685	0.04414069
686	0.050988342
687	0.090975465
688	0.123352355
689	0.100020688
690	0.080694525
691	0.056569105
692	0.050189579
693	0.033539688
694	0.029744034
695	0.019537682
696	0.016225739
697	0.008282641
698	0.008431261
699	0.01838546
700	0.028342999
701	0.023427407
702	0.033908733
703	0.033547481
704	0.026868488
705	0.021276035
706	0.02846991
707	0.035997206
708	0.02986204
709	0.037888075
710	0.047326279
711	0.068912913
712	0.113433224
713	0.118982816
714	0.07399605
715	0.104955762
716	0.064853973
717	0.060663669
718	0.080436806
719	0.083814988
720	0.064134808
721	0.054199535
722	0.070843303
723	0.048604856
724	0.063151801
725	0.05946135
726	0.084569777
727	0.05877113
728	0.048718965
729	0.045070261
730	0.034421945
731	0.047164856
732	0.052467862
733	0.046589858
734	0.052816868
735	0.076692918
736	0.136730379
737	0.130411526
738	0.082087211
739	0.08229372
740	0.081818916
741	0.073686564
742	0.051962443
743	0.059655614
744	0.057647296
745	0.044891583
746	0.050964963
747	0.045006805
748	0.074999652
749	0.075000209
750	0.061505292
751	0.072857187
752	0.044821447
753	0.04518103
754	0.046930515
755	0.035328138
756	0.036305022
757	0.049448705
758	0.06287627
759	0.092939809
760	0.137812466
761	0.112132938
762	0.109349793
763	0.124961013
764	0.094638085
765	0.074027778
766	0.082846453
767	0.067240799
768	0.077338608
769	0.074816521
770	0.086792397
771	0.096018525
772	0.079849005
773	0.110165811
774	0.103391634
775	0.071840782
776	0.061485254
777	0.039542933
778	0.054197865
779	0.035748949
780	0.036180893
781	0.057864938
782	0.07103033
783	0.085214353
784	0.098489958
785	0.093911127
786	0.089967966
787	0.05981314
788	0.061457422
789	0.041809527
790	0.04453033
791	0.043197204
792	0.030565619
793	0.04745152
794	0.044135124
795	0.05694316
796	0.050627646
797	0.056609183
798	0.068650184
799	0.074070638
800	0.06906042
801	0.051243278
802	0.03840741
803	0.051548867
804	0.059695134
805	0.062925253
806	0.054678793
807	0.097460194
808	0.154050451
809	0.114941689
810	0.137894291
811	0.114547595
812	0.073296924
813	0.077254557
814	0.077210027
815	0.066373014
816	0.094001301
817	0.076029973
818	0.06163443
819	0.112964542
820	0.106342882
821	0.104683571
822	0.111996007
823	0.07755458
824	0.059319966
825	0.038380692
826	0.046584292
827	0.037490085
828	0.052650993
829	0.056637014
830	0.065298163
831	0.107206214
832	0.105585866
833	0.100785497
834	0.125844384
835	0.08586561
836	0.058820113
837	0.058603028
838	0.080395058
839	0.056418815
840	0.05160954
841	0.077369223
842	0.093941185
843	0.099097797
844	0.066737606
845	0.091136887
846	0.104895646
847	0.063611577
848	0.067156191
849	0.055239875
850	0.039832381
851	0.038068979
852	0.040095109
853	0.049280047
854	0.061969521
855	0.108785927
856	0.126571898
857	0.132867373
858	0.084108888
859	0.090865252
860	0.080310451
861	0.063101705
862	0.072225969
863	0.069761216
864	0.056726075
865	0.04720215
866	0.052194
867	0.066813864
868	0.093221464
869	0.073982691
870	0.074138547
871	0.089199818
872	0.06906042
873	0.050881469
874	0.040402369
875	0.044130114
876	0.05595737
877	0.060678141
878	0.071398818
879	0.11591913
880	0.151132045
881	0.117281201
882	0.120304254
883	0.104134178
884	0.077028566
885	0.09440931
886	0.087749243
887	0.062036317
888	0.06375797
889	0.071531296
890	0.070831057
891	0.062983699
892	0.110439672
893	0.122269155
894	0.078876574
895	0.0981198
896	0.074303309
897	0.046444578
898	0.04449081
899	0.054334796
900	0.040696269
901	0.05679287
902	0.06746512
903	0.116715109
904	0.104864475
905	0.102477649
906	0.099235841
907	0.075861314
908	0.08823017
909	0.071625923
910	0.054169477
911	0.068198201
912	0.07103701
913	0.070921787
914	0.084255838
915	0.083069661
916	0.064083598
917	0.086427805
918	0.10410078
919	0.095417365
920	0.055429129
921	0.040232597
922	0.038083452
923	0.0382638
924	0.047268946
925	0.046177953
926	0.06455395
927	0.075395416
928	0.119384703
929	0.080016551
930	0.10796156
931	0.068001154
932	0.07917938
933	0.055829902
934	0.037801797
935	0.034542177
936	0.041296315
937	0.039542933
938	0.047183225
939	0.053052322
940	0.065526381
941	0.093226473
942	0.083460972
943	0.07265513
944	0.058891362
945	0.060182742
946	0.044811428
947	0.055534888
948	0.047817225
949	0.064719269
950	0.083571741
951	0.132508904
952	0.133785811
953	0.128109864
954	0.098395331
955	0.068717536
956	0.068435882
957	0.050118887
958	0.048533607
959	0.041660351
960	0.029386678
961	0.027257015
962	0.044766341
963	0.056729414
964	0.062606861
965	0.067602608
966	0.059399008
967	0.059256511
968	0.056685997
969	0.045977009
970	0.033566963
971	0.04360076
972	0.037387665
973	0.042170223
974	0.067841958
975	0.079117038
976	0.107417176
977	0.111926985
978	0.084908207
979	0.08304684
980	0.053920664
981	0.039409342
982	0.023535393
983	0.019760334
984	0.013831677
985	0.010713997
986	0.010473534
987	0.014708368
988	0.031733427
989	0.050124453
990	0.043608553
991	0.05086811
992	0.047642444
993	0.030245
994	0.038396277
995	0.047538354
996	0.046025993
997	0.051695817
998	0.048168458
999	0.085932405
1000	0.096866828
1001	0.073662073
1002	0.06346908
1003	0.031104436
1004	0.011764913
1005	0.005245673
1006	0.007047481
1007	0.006710721
1008	0.005488363
1009	0.005857965
1010	0.006773063
1011	0.006722967
1012	0.00939256
1013	0.018490663
1014	0.030163733
1015	0.038874422
1016	0.024572393
1017	0.022583557
1018	0.03069921
1019	0.02694085
1020	0.031955522
1021	0.02980749
1022	0.034337338
1023	0.064413123
1024	0.061964511
1025	0.060823978
1026	0.034139178
1027	0.011260607
1028	0.007169383
1029	0.006557091
1030	0.007047481
1031	0.00549059
1032	0.004939527
1033	0.004393474
1034	0.006773063
1035	0.006722967
1036	0.00939256
1037	0.014462338
1038	0.017291127
1039	0.02555707
1040	0.017658503
1041	0.014194043
1042	0.011065787
1043	0.022329734
1044	0.024928079
1045	0.019962947
1046	0.034783754
1047	0.047516646
1048	0.068849457
1049	0.064327402
1050	0.049308435
1051	0.024753297
1052	0.015950764
