Hour	Heat demand [kW]
0	0.075222112
1	0.074744336
2	0.076766554
3	0.083222102
4	0.105977624
5	0.152844222
6	0.204044148
7	0.194466384
8	0.187999726
9	0.161921986
10	0.145255344
11	0.128555368
12	0.117422052
13	0.117344274
14	0.111999836
15	0.117777606
16	0.124044264
17	0.140499796
18	0.149322004
19	0.155077552
20	0.144277568
21	0.126110928
22	0.082144324
23	0.052988812
24	0.046799932
25	0.058833248
26	0.053488812
27	0.05225548
28	0.063344352
29	0.10107763
30	0.148233118
31	0.149555338
32	0.145944232
33	0.11913316
34	0.100099854
35	0.091488756
36	0.079377662
37	0.084888766
38	0.093522086
39	0.078933218
40	0.064555462
41	0.086677652
42	0.077888776
43	0.101399852
44	0.111444282
45	0.115233166
46	0.080410994
47	0.06748879
48	0.072388784
49	0.072577672
50	0.07225545
51	0.07833322
52	0.096844304
53	0.148522006
54	0.19504416
55	0.182377512
56	0.167810866
57	0.150822002
58	0.128699812
59	0.114299834
60	0.102477628
61	0.109555396
62	0.10584429
63	0.10442207
64	0.115366498
65	0.127677592
66	0.12815537
67	0.145688676
68	0.14033313
69	0.124899818
70	0.08645543
71	0.079088774
72	0.076644332
73	0.074744336
74	0.078266552
75	0.088110982
76	0.116133164
77	0.178721962
78	0.2436552
79	0.23247744
80	0.21827746
81	0.196777492
82	0.182888622
83	0.168466422
84	0.159555324
85	0.153699776
86	0.144044234
87	0.14084424
88	0.15129978
89	0.163566428
90	0.190333056
91	0.216810796
92	0.213888578
93	0.204621924
94	0.147777562
95	0.129122034
96	0.129233146
97	0.134033138
98	0.1375998
99	0.150855336
100	0.195310826
101	0.283688476
102	0.373266124
103	0.363766138
104	0.354521706
105	0.33305507
106	0.313843988
107	0.296766234
108	0.281855146
109	0.266655168
110	0.25247741
111	0.248877416
112	0.25541074
113	0.267355166
114	0.276310708
115	0.28525514
116	0.27824404
117	0.258988512
118	0.181466402
119	0.148688672
120	0.143455346
121	0.143433124
122	0.145855344
123	0.158188658
124	0.198355266
125	0.28656625
126	0.37506612
127	0.365499468
128	0.351155044
129	0.328299522
130	0.31083288
131	0.292488464
132	0.277777374
133	0.26535517
134	0.250010748
135	0.247666306
136	0.257888514
137	0.276332932
138	0.288210692
139	0.300010674
140	0.29794401
141	0.277110708
142	0.195288604
143	0.160299766
144	0.154821996
145	0.155721996
146	0.161633098
147	0.176933076
148	0.221699678
149	0.318199536
150	0.416477172
151	0.408688294
152	0.394888314
153	0.35841059
154	0.325888414
155	0.308166218
156	0.29408846
157	0.28353292
158	0.267266278
159	0.26831072
160	0.277710706
161	0.295555126
162	0.308055108
163	0.320143978
164	0.32158842
165	0.300055118
166	0.210833026
167	0.175521966
168	0.171877528
169	0.173077526
170	0.178155296
171	0.194044162
172	0.244032978
173	0.349832824
174	0.45247712
175	0.441510468
176	0.423488272
177	0.388510546
178	0.35749948
179	0.329543964
180	0.313110656
181	0.300410674
182	0.284521808
183	0.281655146
184	0.29134402
185	0.305799554
186	0.31995509
187	0.333566182
188	0.334721736
189	0.31093288
190	0.220333012
191	0.180599738
192	0.174721968
193	0.176699742
194	0.18265529
195	0.198121934
196	0.246066308
197	0.351277266
198	0.450677122
199	0.441510468
200	0.430221596
201	0.401188304
202	0.378566116
203	0.358055034
204	0.341655058
205	0.326388414
206	0.310399548
207	0.30351067
208	0.312410656
209	0.326299526
210	0.339799506
211	0.3510106
212	0.351799488
213	0.326632858
214	0.230699664
215	0.19219972
216	0.187510838
217	0.188988614
218	0.195421938
219	0.21359969
220	0.26839961
221	0.385788328
222	0.495677056
223	0.476065974
224	0.46049933
225	0.429710486
226	0.404154968
227	0.37658834
228	0.353888374
229	0.33547729
230	0.315321764
231	0.308366218
232	0.317377316
233	0.332710626
234	0.346410606
235	0.35637726
236	0.349166158
237	0.320588422
238	0.224655228
239	0.184221954
240	0.176855298
241	0.177421964
242	0.183410844
243	0.200566374
244	0.251144078
245	0.361332808
246	0.4650771
247	0.45014379
248	0.433577146
249	0.405943854
250	0.380077224
251	0.355210594
252	0.330777296
253	0.312099546
254	0.291910686
255	0.284088476
256	0.29134402
257	0.304521778
258	0.31863287
259	0.330877296
260	0.329466188
261	0.307310664
262	0.217744128
263	0.180599738
264	0.176144188
265	0.179588628
266	0.187910838
267	0.204644146
268	0.260277398
269	0.377155006
270	0.490277064
271	0.477788194
272	0.458810444
273	0.429710486
274	0.404154968
275	0.362332806
276	0.333499514
277	0.30949955
278	0.290677354
279	0.292588464
280	0.312410656
281	0.336555066
282	0.3583217
283	0.372477236
284	0.363621692
285	0.33751062
286	0.235888546
287	0.195821938
288	0.192488608
289	0.194766384
290	0.199177488
291	0.216866352
292	0.26839961
293	0.38003278
294	0.481277078
295	0.45359934
296	0.423488272
297	0.377421672
298	0.340932838
299	0.311010658
300	0.291377354
301	0.26535517
302	0.248777416
303	0.248877416
304	0.25541074
305	0.260955176
306	0.265721836
307	0.271832938
308	0.263799616
309	0.240866316
310	0.1676442
311	0.135644248
312	0.129233146
313	0.127522036
314	0.1300887
315	0.142710904
316	0.178055296
317	0.250621858
318	0.321055088
319	0.30503289
320	0.290599578
