Mass flow rate [kg/h]	Temperature [C]
0.083831687	80
0.092450532	80
0.079014618	80
0.120499074	80
0.096951435	80
0.14240076	80
0.131498066	80
0.135396139	80
0.095719615	80
0.08808322	80
0.085812173	80
0.080234749	80
0.090394344	80
0.065357166	80
0.125348427	80
0.121763735	80
0.158251888	80
0.164792837	80
0.198970422	80
0.174496553	80
0.116394491	80
0.111531779	80
0.090930378	80
0.08451801	80
0.104367962	80
0.085153124	80
0.071564694	80
0.102480989	80
0.104897316	80
0.121389681	80
0.138133085	80
0.1411656	80
0.101302049	80
0.056687111	80
0.06243542	80
0.055747521	80
0.065761835	80
0.09460914	80
0.118020961	80
0.113120398	80
0.217900266	80
0.136098049	80
0.125228195	80
0.135889869	80
0.10824878	80
0.12441329	80
0.102154804	80
0.088274144	80
0.094742731	80
0.092698789	80
0.080766887	80
0.096491103	80
0.094020226	80
0.082051587	80
0.083089143	80
0.087358489	80
0.061177994	80
0.045354142	80
0.061033271	80
0.055557153	80
0.057644513	80
0.075498949	80
0.095444084	80
0.125428025	80
0.177856366	80
0.128182226	80
0.122681617	80
0.112296587	80
0.117259492	80
0.121117489	80
0.103076582	80
0.088615914	80
0.093146319	80
0.11166871	80
0.095044424	80
0.110610558	80
0.083699209	80
0.136790495	80
0.136476557	80
0.083944126	80
0.089880019	80
0.069152263	80
0.072566626	80
0.060628045	80
0.075044739	80
0.081871239	80
0.086656023	80
0.137312614	80
0.159034509	80
0.153679736	80
0.161069545	80
0.157350149	80
0.145233446	80
0.112962316	80
0.092157745	80
0.114253695	80
0.079388116	80
0.067637119	80
0.105857501	80
0.097988992	80
0.086348764	80
0.139215172	80
0.104726988	80
0.086366576	80
0.082867605	80
0.054620347	80
0.047237774	80
0.058813434	80
0.072332842	80
0.07844463	80
0.082080531	80
0.117626868	80
0.137450101	80
0.144155812	80
0.122681617	80
0.13638193	80
0.090792891	80
0.120986681	80
0.092868004	80
0.093999074	80
0.091777011	80
0.066788816	80
0.084747342	80
0.092254042	80
0.098321856	80
0.104683571	80
0.112790874	80
0.087986367	80
0.0627822	80
0.061057763	80
0.053202056	80
0.038068979	80
0.049367438	80
0.060678141	80
0.069367122	80
0.109581907	80
0.131080594	80
0.125119096	80
0.116090571	80
0.083307342	80
0.09614655	80
0.074674024	80
0.094281842	80
0.075695995	80
0.066608468	80
0.076029973	80
0.095430725	80
0.10217707	80
0.079849005	80
0.100985327	80
0.099772988	80
0.083750419	80
0.0732613	80
0.045467694	80
0.048365505	80
