# Location:	Alpine/Davos, Year: 2021-2040, Longitude: -9.844, STD Longitude: -15, Latitude: 46.813	
# NB: The longitudes are defined negative for values to the east and positive to the west.
TIME ta Ghoris Gbn w10 EL
1 -3.09 0 0 0.91 228.49
2 -3.8 0 0 1.01 228.07
3 -4.51 0 0 1.01 227.3
4 -4.89 0 0 0.3 227.01
5 -5.27 0 0 0.6 226.75
6 -5.65 0 0 0.5 227.63
7 -5.91 0 0 0.91 228.19
8 -6.18 0 0 1.41 228.05
9 -5.46 25.58 58.73 0.2 228.9
10 -3.75 143.71 624.15 0.2 229.37
11 -2.19 246.09 753.9 0.1 228.87
12 -0.97 308.65 796.08 1.41 232.08
13 -0.09 335.82 835.95 1.71 233.75
14 0.34 309.06 821.15 2.22 232.28
15 0.32 232.22 751.71 2.22 234.27
16 -0.38 124.99 629.2 1.61 238.21
17 -1.56 14.13 0 1.91 237.4
18 -2.18 0 0 2.52 236.44
19 -2.8 0 0 1.61 232.38
20 -3.42 0 0 0.91 230.45
21 -4.04 0 0 1.01 231.68
22 -4.66 0 0 1.61 228.93
23 -5.28 0 0 2.22 225.65
24 -5.9 0 0 1.01 225.48
25 -6.35 0 0 2.82 222.9
26 -6.84 0 0 5.64 219.06
27 -7.33 0 0 3.12 221.3
28 -7.6 0 0 3.52 220.42
29 -7.86 0 0 4.63 219.19
30 -8.13 0 0 1.61 216.32
31 -8.32 0 0 1.21 217.63
32 -8.51 0 0 0.5 216.45
33 -7.77 23.44 39.76 3.12 217.96
34 -6.21 120.33 426.18 2.52 220.39
35 -4.89 194.35 425.74 1.61 220.91
36 -3.66 266.45 567.56 2.82 219.23
37 -2.66 307.51 678.83 1.61 218.32
38 -2.09 293.11 731.33 2.52 218.83
39 -1.9 250.92 753.13 0.91 215.45
40 -2.27 160.26 589.57 0.4 213.22
41 -3.46 19.12 0 1.71 210.85
42 -3.79 0 0 1.01 212.21
43 -4.12 0 0 0.2 212.94
44 -4.46 0 0 0.3 209.92
45 -4.79 0 0 0.6 209.89
46 -5.12 0 0 1.41 211.24
47 -5.45 0 0 0.91 208.91
48 -5.79 0 0 2.82 209.01
49 -5.96 0 0 3.12 208.43
50 -6.13 0 0 2.22 210.21
51 -6.3 0 0 2.22 209.31
52 -6.39 0 0 0.4 208.11
53 -6.47 0 0 0.4 209.95
54 -6.55 0 0 0.2 209.56
55 -6.61 0 0 1.01 207.53
56 -6.66 0 0 0.3 205.34
57 -5.63 27.8 85.46 0.3 208.78
58 -2.72 186.15 634.93 0.4 212.67
59 -0.83 260.78 659.16 0.2 220.42
60 0.17 265.78 503.39 0.4 226.18
61 0.79 269.09 480.93 1.01 223.38
62 1.14 257.84 543.53 1.01 221.97
63 1.08 204.83 534.46 0.7 224.47
64 0.7 160.55 443.51 1.41 216.63
65 -0.57 21.5 30.38 2.22 216.52
66 -1.01 0 0 3.12 215.04
67 -1.45 0 0 1.21 215.49
68 -1.89 0 0 0.6 215.51
69 -2.34 0 0 0.6 214.77
70 -2.78 0 0 2.82 216.7
71 -3.22 0 0 2.52 213.2
72 -3.66 0 0 6.04 215.67
73 -4.12 0 0 4.13 214.49
74 -4.57 0 0 5.14 213.17
75 -5.03 0 0 3.52 213.3
76 -5.25 0 0 7.55 214.32
77 -5.47 0 0 4.63 215.9
78 -5.69 0 0 1.41 214.38
79 -5.84 0 0 1.41 216.89
80 -5.98 0 0 0.6 218.45
81 -5.14 25.41 54.24 0.5 219.13
82 -3.02 154.42 660.28 1.01 225.42
83 -1.14 261.4 785.89 2.52 222.39
84 0.37 330.66 842.31 1.21 223.75
85 1.44 354.95 860.28 1.21 226.14
86 2.02 331.56 841.71 1.01 224.29
87 2.06 250.03 774.33 0.3 225.61
88 1.32 135.66 635.74 0.91 226.88
89 0 15.88 0 0.5 230.27
90 -0.74 0 0 0 227.49
91 -1.48 0 0 0.1 222.47
92 -2.21 0 0 0.1 218.48
93 -2.95 0 0 0.5 215.37
94 -3.69 0 0 0.91 214.72
95 -4.42 0 0 0.1 214
96 -5.16 0 0 0.3 212.88
97 -5.93 0 0 1.91 209.71
98 -6.77 0 0 1.41 205.28
99 -7.61 0 0 1.91 201.79
100 -8.06 0 0 2.82 198.81
101 -8.52 0 0 4.13 198.31
102 -8.97 0 0 4.13 199.02
103 -9.3 0 0 1.21 201.34
104 -9.63 0 0 1.01 202.41
105 -8.94 27.15 74.45 2.52 205.1
106 -7.23 153.91 659.14 3.52 210.32
107 -5.51 283.07 790.29 4.63 212.88
108 -3.81 407.49 847.97 2.52 210.52
109 -2.67 433.44 862.65 1.01 210.26
110 -2.09 399.26 815.25 0.4 210.76
111 -2.5 234.35 608.37 0.4 223.33
112 -3.73 82.48 148.79 0.4 233.35
113 -5.1 8.52 0 0.2 232.32
114 -5.34 0 0 0.5 231.48
115 -5.57 0 0 0.6 232.25
116 -5.81 0 0 0.1 228.83
117 -6.05 0 0 1.01 228.67
118 -6.28 0 0 0.6 230.36
119 -6.52 0 0 0.4 229.36
120 -6.76 0 0 1.71 227.52
121 -6.72 0 0 1.61 226.65
122 -6.63 0 0 1.21 221.98
123 -6.55 0 0 2.22 223.7
124 -6.49 0 0 2.82 224.54
125 -6.42 0 0 2.22 225.97
126 -6.36 0 0 3.12 222.83
127 -6.3 0 0 4.13 221.37
128 -6.25 0 0 3.52 221.72
129 -5.18 26.63 66.16 1.91 221.71
130 -2.54 160.87 664.74 1.91 226.43
131 -0.18 274.2 792.73 1.41 224.56
132 1.72 345.63 851.47 0.4 227.12
133 3.03 366.82 867.32 0.3 229.58
134 3.72 334.74 844.8 0.6 233.91
135 3.8 258.15 780.3 0.5 236.9
136 2.94 142.97 642.01 0.2 240.22
137 1.38 17.92 0 0.2 237.29
138 1.17 0 0 0 239.01
139 0.96 0 0 0.1 239.79
140 0.75 0 0 0 238.53
141 0.55 0 0 0.6 242.78
142 0.34 0 0 0.4 244.26
143 0.13 0 0 0.1 246.63
144 -0.08 0 0 0.1 249.56
145 -0.74 0 0 0.2 259.55
146 -0.95 0 0 0.1 258.84
147 -1.38 0 0 0.7 265.23
148 -2 0 0 0.6 266.35
149 -1.72 0 0 1.41 268.58
150 -1.79 0 0 0.6 268.79
151 -2.34 0 0 2.52 269.66
152 -2.91 0 0 1.91 268.4
153 -1.98 3.35 0 0.5 272.22
154 -1.84 15.61 0 0.4 273.67
155 -1.57 26.16 0 1.71 278.18
156 -1.47 32.9 0 1.91 277.62
157 -3.25 35.04 0 2.22 270.06
158 -0.24 272.36 466.96 1.61 247.22
159 0.39 207.14 489.51 2.22 251.8
160 0.18 114.21 409.49 1.21 256.32
161 -0.1 14.51 0 2.22 254.79
162 -0.33 0 0 0.2 253.52
163 -0.84 0 0 0.2 248.11
164 -1.24 0 0 0.7 248.69
165 -1.7 0 0 1.01 246.29
166 -2.16 0 0 0.1 243.91
167 -2.62 0 0 0.2 241.53
168 -3.07 0 0 0.3 239.17
169 -4.19 0 0 1.21 233.68
170 -5.45 0 0 0.91 230.28
171 -6.7 0 0 0.4 226.56
172 -7.41 0 0 0.4 221.55
173 -8.11 0 0 0.4 220.64
174 -8.81 0 0 0.3 210.76
175 -9.33 0 0 0.1 211.36
176 -9.84 0 0 0.6 209.83
177 -9.39 25.45 47.9 0.6 213.31
178 -8.21 137.64 322.88 1.71 214.52
179 -8.1 113.59 65.76 1.41 222.55
180 -7 303.34 547.13 0.3 210.65
181 -6.21 343.01 774.76 0.5 207.12
182 -5.66 361.36 629.9 1.61 203.74
183 -6.09 163.45 223.76 1.71 219.51
184 -6.42 170.49 386.72 4.13 208.63
185 -7.35 26.22 86.85 3.52 208.56
186 -7.76 0 0 2.82 209.04
187 -8.17 0 0 0.91 209.26
188 -8.58 0 0 1.41 209.2
189 -8.99 0 0 1.41 209.16
190 -9.4 0 0 4.13 209.8
191 -9.81 0 0 8.36 208.2
192 -10.22 0 0 11.08 206.61
193 -10.06 0 0 9.37 207.57
194 -9.83 0 0 5.64 208.9
195 -9.6 0 0 3.52 208.05
196 -9.44 0 0 2.82 208.07
197 -9.28 0 0 4.13 208.36
198 -9.13 0 0 1.01 208
199 -9 0 0 0.6 208.72
200 -8.86 0 0 0.91 209.82
201 -7.79 24.87 47.4 0.91 210.84
202 -5.08 156.18 660 3.52 214.81
203 -1.82 328.85 795.83 1.21 210.37
204 -0.14 330.41 619.56 1.01 220.52
205 -0.43 182.78 87.02 1.61 235.44
206 -0.62 180.41 105.64 1.61 232.09
207 -0.44 211.05 426.19 0.91 223.85
208 -0.79 152.04 496.23 3.12 220.52
209 -1.97 28.96 124.2 1.21 216.89
210 -2.43 0 0 6.04 216.71
211 -2.89 0 0 4.13 215.41
212 -3.35 0 0 1.21 213.55
213 -3.81 0 0 4.13 212.67
214 -4.28 0 0 2.82 212.94
215 -4.74 0 0 2.52 218.74
216 -5.2 0 0 2.22 220.93
217 -5.97 0 0 1.21 219.97
218 -6.82 0 0 2.82 219.91
219 -7.68 0 0 6.04 221.25
220 -8.15 0 0 4.63 219.52
221 -8.62 0 0 2.52 218.93
222 -9.09 0 0 1.41 215.19
223 -9.43 0 0 2.22 215.63
224 -9.77 0 0 2.52 214.28
225 -9.08 26.59 56.51 0.1 217.4
226 -7.55 138.3 530.67 0 219.43
227 -6.08 244.41 710.72 0.2 220.06
228 -5.06 289.17 630.12 0.3 219.33
229 -4.35 311.58 657.55 0.91 221.33
230 -3.94 305.75 714.9 0.7 219.18
231 -3.92 243.5 700.66 1.01 218.05
232 -4.49 144.07 582.63 0.6 218.29
233 -5.62 21.54 25.2 5.14 216.82
234 -6.09 0 0 3.12 218.12
235 -6.57 0 0 1.41 216.34
236 -7.04 0 0 1.71 212.5
237 -7.52 0 0 3.52 212
238 -7.99 0 0 2.82 212.56
239 -8.47 0 0 5.14 213.54
240 -8.94 0 0 3.52 212.88
241 -9.09 0 0 6.04 212.84
242 -9.2 0 0 5.14 213.54
243 -9.3 0 0 4.13 215.61
244 -9.33 0 0 0.7 214.87
245 -9.37 0 0 0.2 215.85
246 -9.4 0 0 0.2 217.25
247 -9.41 0 0 0.2 214.93
248 -9.41 0 0 0.4 217.6
249 -8.7 18.59 0 1.61 219.07
250 -7.45 85.11 79.69 1.61 219.73
251 -5.73 193.03 324.15 4.63 225.68
252 -3.89 293.91 627.42 2.52 214.79
253 -2.65 312.98 534.83 4.13 216.01
254 -3.38 112.1 0 1.01 245.75
255 -2.82 220.56 453.12 0.7 221.87
256 -3.16 127.37 477.11 0.2 222.77
257 -4.07 31.67 187.89 0.6 218.78
258 -4.61 0 0 0.5 216.9
259 -5.15 0 0 0.91 214.62
260 -5.69 0 0 1.21 211.51
261 -6.23 0 0 2.52 207.39
262 -6.77 0 0 1.91 206.21
263 -7.32 0 0 1.91 207.39
264 -7.86 0 0 1.71 206.75
265 -8.56 0 0 0.7 202.96
266 -9.34 0 0 0.7 197.77
267 -10.13 0 0 0.6 199.22
268 -10.56 0 0 2.52 196.66
269 -10.99 0 0 1.21 195.6
270 -11.42 0 0 1.71 196
271 -11.73 0 0 0.2 196.04
272 -12.05 0 0 0.6 199.91
273 -11.3 28.06 90.11 1.61 204.23
274 -9.89 128.5 434.41 1.01 204.55
275 -8.7 206.85 394.8 1.41 202.82
276 -7.41 306.51 675.52 2.52 201.15
277 -6.45 343.11 756.74 1.21 200.96
278 -6.05 300.69 655.03 1.61 203.69
279 -5.96 258.47 640.03 1.21 202.64
280 -6.62 132.1 378.19 0.7 208.4
281 -7.76 23.88 43.39 0.7 209.3
282 -8.11 0 0 1.01 208.54
283 -8.47 0 0 0.91 211.61
284 -8.82 0 0 2.22 211.97
285 -9.18 0 0 1.01 212.05
286 -9.53 0 0 2.22 212.34
