# Location:	Cold/Edmonton Airport, Year: 2021-2040, Longitude: 113.583, STD Longitude: 105, Latitude: 53.3	
# NB: The longitudes are defined negative for values to the east and positive to the west.
TIME ta Ghoris Gbn w10 EL
1 -15.81 0.00 0.00 3.01 174.17
2 -16.30 0.00 0.00 3.01 175.50
3 -16.79 0.00 0.00 3.01 174.71
4 -17.28 0.00 0.00 2.21 174.00
5 -17.51 0.00 0.00 2.51 174.41
6 -17.74 0.00 0.00 2.21 175.66
7 -17.98 0.00 0.00 2.51 174.28
8 -18.13 0.00 0.00 2.81 174.59
9 -18.27 0.00 0.00 1.81 174.44
10 -15.33 37.99 172.02 1.71 178.07
11 -12.68 106.21 298.98 1.30 182.89
12 -11.04 135.35 240.12 2.41 189.27
13 -8.20 239.31 610.50 2.71 180.57
14 -6.76 222.06 724.53 3.01 184.29
15 -6.57 161.62 653.83 3.21 186.39
16 -7.97 74.50 547.10 3.01 187.24
17 -8.89 3.78 0.00 3.51 184.04
18 -9.82 0.00 0.00 4.01 181.49
19 -10.74 0.00 0.00 3.71 178.79
20 -11.67 0.00 0.00 2.81 179.61
21 -12.59 0.00 0.00 3.01 179.23
22 -13.52 0.00 0.00 3.51 177.55
23 -14.44 0.00 0.00 4.01 174.20
24 -15.37 0.00 0.00 3.21 170.81
25 -16.37 0.00 0.00 4.52 169.55
26 -17.49 0.00 0.00 6.22 167.84
27 -18.61 0.00 0.00 5.52 164.87
28 -19.73 0.00 0.00 6.22 162.52
29 -20.35 0.00 0.00 7.33 160.28
30 -20.97 0.00 0.00 5.22 158.67
31 -21.58 0.00 0.00 4.72 157.20
32 -22.04 0.00 0.00 3.91 154.48
33 -22.49 0.00 0.00 6.22 154.16
34 -19.06 52.00 464.21 5.92 162.61
35 -16.13 141.29 633.20 5.22 167.06
36 -13.71 208.11 716.52 6.52 168.89
37 -12.03 238.99 747.15 5.52 172.12
38 -11.28 223.84 726.98 6.22 173.02
39 -11.65 159.77 661.33 4.72 177.45
40 -13.36 75.01 546.39 3.91 177.47
41 -14.04 3.03 0.00 5.02 175.51
42 -14.72 0.00 0.00 4.52 172.81
43 -15.40 0.00 0.00 2.81 170.05
44 -16.08 0.00 0.00 3.01 167.58
45 -16.76 0.00 0.00 3.21 166.67
46 -17.44 0.00 0.00 3.91 167.23
47 -18.13 0.00 0.00 3.21 166.88
48 -18.81 0.00 0.00 4.72 164.96
49 -19.07 0.00 0.00 5.22 164.19
50 -19.35 0.00 0.00 5.02 164.88
51 -19.63 0.00 0.00 5.02 163.61
52 -19.91 0.00 0.00 3.51 163.82
53 -20.06 0.00 0.00 3.01 164.68
54 -20.21 0.00 0.00 2.51 162.91
55 -20.36 0.00 0.00 3.21 163.17
56 -20.47 0.00 0.00 2.41 163.31
57 -20.58 0.00 0.00 2.21 164.35
58 -16.74 47.44 337.83 2.21 174.46
59 -14.03 114.49 474.10 1.81 178.97
60 -11.70 167.36 520.17 2.01 180.54
61 -9.76 206.27 643.20 2.41 182.78
62 -8.29 225.02 716.84 2.51 182.71
63 -8.31 152.12 654.40 2.21 185.43
64 -9.91 72.11 485.45 2.71 184.01
65 -10.27 3.46 0.00 3.51 183.31
66 -10.62 0.00 0.00 4.01 183.70
67 -10.97 0.00 0.00 3.01 185.35
68 -11.32 0.00 0.00 2.51 184.35
69 -11.68 0.00 0.00 2.41 185.04
70 -12.03 0.00 0.00 4.01 185.44
71 -12.38 0.00 0.00 4.01 185.37
72 -12.74 0.00 0.00 5.92 184.23
73 -13.02 0.00 0.00 5.52 187.26
74 -13.23 0.00 0.00 6.52 186.88
75 -13.43 0.00 0.00 6.52 187.67
76 -13.63 0.00 0.00 9.63 188.12
77 -13.70 0.00 0.00 8.23 187.73
78 -13.76 0.00 0.00 5.92 187.45
79 -13.82 0.00 0.00 5.52 187.54
80 -13.83 0.00 0.00 4.52 188.93
81 -13.85 0.00 0.00 4.01 189.47
82 -10.04 47.14 365.10 4.52 194.71
83 -6.76 128.05 589.78 5.92 202.28
84 -3.64 203.07 721.11 4.72 203.98
85 -1.60 225.10 747.15 4.72 203.97
86 -0.56 211.50 731.67 4.52 208.05
87 -0.86 145.67 607.10 3.51 211.35
88 -2.57 66.73 394.03 3.91 212.21
89 -3.55 3.79 0.00 3.21 207.35
90 -4.53 0.00 0.00 1.91 207.57
91 -5.51 0.00 0.00 1.71 204.99
92 -6.49 0.00 0.00 1.71 201.93
93 -7.47 0.00 0.00 2.11 201.78
94 -8.45 0.00 0.00 2.41 201.07
95 -9.42 0.00 0.00 1.30 199.26
96 -10.40 0.00 0.00 1.71 197.80
97 -11.67 0.00 0.00 2.71 195.49
98 -13.07 0.00 0.00 2.51 191.46
99 -14.46 0.00 0.00 3.01 190.77
100 -15.85 0.00 0.00 3.71 188.82
101 -16.61 0.00 0.00 4.21 186.68
102 -17.37 0.00 0.00 4.72 184.80
103 -18.13 0.00 0.00 3.51 185.32
104 -18.68 0.00 0.00 3.51 183.25
105 -19.23 0.00 0.00 4.52 183.55
106 -18.31 25.21 20.94 5.22 183.25
107 -18.27 32.90 0.00 6.22 182.76
108 -17.37 103.45 75.05 5.22 174.11
109 -16.77 123.98 82.72 4.01 173.08
110 -16.40 131.53 167.49 3.21 169.70
111 -16.82 58.12 0.00 2.81 177.19
112 -17.22 51.62 95.70 2.81 172.64
113 -18.16 4.09 0.00 2.21 169.80
114 -19.09 0.00 0.00 2.51 167.12
115 -20.02 0.00 0.00 2.51 166.17
116 -20.96 0.00 0.00 1.71 161.12
117 -21.97 0.00 0.00 2.51 163.04
118 -22.83 0.00 0.00 2.21 160.94
119 -23.76 0.00 0.00 2.01 157.27
120 -24.70 0.00 0.00 3.01 153.82
121 -25.55 0.00 0.00 2.81 150.34
122 -26.47 0.00 0.00 2.81 146.85
123 -27.39 0.00 0.00 3.51 143.40
124 -28.30 0.00 0.00 4.01 139.98
125 -28.79 0.00 0.00 4.01 138.22
126 -29.28 0.00 0.00 4.72 136.47
127 -29.77 0.00 0.00 5.52 134.72
128 -30.12 0.00 0.00 5.52 127.48
129 -30.46 0.00 0.00 5.02 127.95
130 -29.19 18.87 0.00 5.02 129.86
131 -27.38 71.86 74.46 4.52 134.11
132 -25.50 127.42 178.36 3.51 132.28
133 -23.84 170.24 356.09 2.81 132.25
134 -22.20 217.47 603.08 3.21 128.48
135 -21.60 177.59 663.31 2.81 128.83
136 -22.41 86.85 550.01 2.21 128.90
137 -23.23 7.56 0.00 2.11 127.56
138 -24.05 0.00 0.00 1.00 127.50
139 -24.87 0.00 0.00 1.00 126.48
140 -25.69 0.00 0.00 0.80 123.52
141 -26.51 0.00 0.00 1.71 123.76
142 -27.33 0.00 0.00 1.61 122.56
