TIME ta Ghoris Gbn w10 EL
1 2.21 0.00 0.00 0.91 253.68
2 1.50 0.00 0.00 1.01 253.29
3 0.76 0.00 0.00 1.01 252.49
4 0.39 0.00 0.00 0.30 252.25
5 0.02 0.00 0.00 0.60 252.03
6 -0.35 0.00 0.00 0.50 253.04
7 -0.62 0.00 0.00 0.91 253.69
8 -0.88 0.00 0.00 1.21 253.59
9 -0.18 25.58 58.70 0.20 254.44
10 1.52 143.65 623.47 0.20 254.80
11 3.08 246.05 753.68 0.10 254.17
12 4.29 308.65 795.90 1.41 257.55
13 5.17 335.86 835.96 1.71 259.33
14 5.60 309.10 821.16 2.22 257.84
15 5.57 232.24 751.64 2.22 260.07
16 4.87 125.00 629.33 1.61 264.43
17 3.69 14.16 0.00 1.91 263.74
18 3.10 0.00 0.00 2.52 262.90
19 2.51 0.00 0.00 1.61 258.78
20 1.92 0.00 0.00 0.91 256.92
21 1.33 0.00 0.00 1.01 258.43
22 0.71 0.00 0.00 1.61 255.65
23 0.14 0.00 0.00 2.22 252.37
24 -0.43 0.00 0.00 1.01 252.43
25 -0.83 0.00 0.00 2.82 249.88
26 -1.24 0.00 0.00 5.64 246.03
27 -1.65 0.00 0.00 3.12 248.74
28 -1.87 0.00 0.00 3.53 248.00
29 -2.08 0.00 0.00 4.64 246.89
30 -2.29 0.00 0.00 1.61 243.99
31 -2.44 0.00 0.00 1.21 245.60
32 -2.59 0.00 0.00 0.50 244.51
33 -1.83 23.44 39.73 3.12 245.77
34 -0.26 120.31 425.97 2.52 247.91
35 1.10 194.38 425.83 1.61 248.07
36 2.38 266.52 567.82 2.82 245.87
37 3.42 307.61 679.12 1.61 244.51
38 4.03 293.20 731.35 2.52 244.73
39 4.25 251.00 753.21 0.91 240.78
40 3.90 160.32 589.71 0.40 238.08
41 2.71 19.16 0.00 1.71 235.32
42 2.22 0.00 0.00 1.01 236.25
43 1.73 0.00 0.00 0.20 236.50
44 1.24 0.00 0.00 0.30 232.74
45 0.73 0.00 0.00 0.60 232.14
46 0.25 0.00 0.00 1.41 233.08
47 -0.22 0.00 0.00 0.91 230.08
48 -0.70 0.00 0.00 2.82 229.70
49 -1.12 0.00 0.00 3.12 228.40
50 -1.56 0.00 0.00 2.22 229.57
51 -2.01 0.00 0.00 2.22 227.88
52 -2.25 0.00 0.00 0.40 226.06
53 -2.49 0.00 0.00 0.40 227.47
54 -2.72 0.00 0.00 0.20 226.52
55 -2.89 0.00 0.00 1.01 223.89
56 -3.06 0.00 0.00 0.30 221.09
57 -2.19 27.80 85.47 0.30 224.22
58 0.35 185.92 634.96 0.40 227.35
59 2.05 260.80 659.18 0.20 234.84
60 2.91 265.84 503.56 0.40 240.47
61 3.45 269.17 481.15 1.01 237.27
62 3.73 257.92 543.71 1.01 235.53
63 3.64 204.89 534.44 0.71 237.88
64 3.26 160.61 443.66 1.41 229.53
65 2.08 21.54 30.92 2.22 229.40
66 1.54 0.00 0.00 3.12 227.57
67 1.00 0.00 0.00 1.21 227.74
68 0.45 0.00 0.00 0.50 227.44
69 -0.08 0.00 0.00 0.60 226.40
70 -0.60 0.00 0.00 2.82 228.13
71 -1.13 0.00 0.00 2.52 224.24
72 -1.65 0.00 0.00 6.05 226.52
73 -2.06 0.00 0.00 4.13 225.24
74 -2.46 0.00 0.00 5.14 223.82
75 -2.85 0.00 0.00 3.53 223.92
76 -3.05 0.00 0.00 7.66 224.88
77 -3.24 0.00 0.00 4.64 226.43
78 -3.43 0.00 0.00 1.41 224.75
79 -3.56 0.00 0.00 1.41 227.25
80 -3.68 0.00 0.00 0.60 228.77
81 -2.85 25.41 54.21 0.50 229.44
82 -0.75 154.35 660.18 1.01 235.81
83 1.14 261.35 785.84 2.52 232.62
84 2.67 330.65 842.29 1.21 234.05
85 3.76 354.97 860.29 1.21 236.57
86 4.36 331.60 841.76 1.01 234.74
87 4.41 250.04 774.38 0.30 236.19
88 3.66 135.66 635.82 0.91 237.63
89 2.32 15.91 0.00 0.50 241.25
90 1.61 0.00 0.00 0.00 238.53
91 0.90 0.00 0.00 0.00 233.50
92 0.18 0.00 0.00 0.10 229.51
93 -0.51 0.00 0.00 0.50 226.48
94 -1.20 0.00 0.00 0.91 225.99
95 -1.89 0.00 0.00 0.10 225.44
96 -2.59 0.00 0.00 0.30 224.47
97 -3.32 0.00 0.00 1.91 221.35
98 -4.12 0.00 0.00 1.41 216.93
99 -4.91 0.00 0.00 1.91 213.50
100 -5.33 0.00 0.00 2.82 210.54
101 -5.76 0.00 0.00 4.13 210.17
102 -6.18 0.00 0.00 4.13 211.08
103 -6.48 0.00 0.00 1.21 213.66
