# Location:	Dry/Cairo, Year: 2021-2040, Longitude: -31.283, STD Longitude: -30, Latitude: 30.083	
# NB: The longitudes are defined negative for values to the east and positive to the west.
TIME ta Ghoris Gbn w10 EL
1 12.55 0.00 0.00 2.80 319.78
2 12.03 0.00 0.00 2.70 319.50
3 11.51 0.00 0.00 3.20 318.84
4 11.26 0.00 0.00 2.50 318.67
5 11.00 0.00 0.00 2.30 318.53
6 10.83 0.00 0.00 2.10 319.86
7 10.66 0.00 0.00 2.30 320.62
8 11.92 57.98 128.90 2.60 323.79
9 13.42 195.13 277.10 1.80 319.95
10 14.89 329.30 381.35 1.80 316.63
11 16.04 405.90 337.08 1.70 314.76
12 16.83 427.92 241.81 2.80 319.35
13 17.65 509.81 483.07 3.20 315.88
14 18.15 478.84 523.58 3.70 312.58
15 17.52 207.22 60.46 4.20 330.11
16 16.68 122.52 45.50 3.70 333.90
17 15.58 5.77 0.00 4.20 350.44
18 14.98 0.00 0.00 4.70 350.54
19 14.37 0.00 0.00 3.90 343.49
20 13.76 0.00 0.00 3.00 338.94
21 13.16 0.00 0.00 3.00 338.04
22 12.55 0.00 0.00 3.40 332.60
23 11.95 0.00 0.00 3.70 326.61
24 11.34 0.00 0.00 3.00 324.18
25 10.73 0.00 0.00 4.20 319.13
26 10.08 0.00 0.00 5.40 312.27
27 9.43 0.00 0.00 5.40 312.24
28 9.09 0.00 0.00 6.20 308.98
29 8.76 0.00 0.00 6.00 305.37
30 8.52 0.00 0.00 4.50 300.22
31 8.28 0.00 0.00 4.20 299.08
32 10.06 76.58 361.08 3.40 299.66
33 12.02 245.39 624.97 5.70 296.62
34 13.92 406.08 742.28 6.00 295.75
35 15.57 527.78 807.57 5.70 290.20
36 16.81 583.04 799.98 7.30 289.87
37 17.66 590.02 815.95 6.20 289.69
38 17.98 510.68 746.08 7.30 291.80
39 17.74 377.31 588.54 5.70 292.65
40 16.79 208.93 439.53 4.70 297.70
41 15.42 59.91 234.07 6.00 301.46
42 14.66 0.00 0.00 5.20 306.60
43 13.91 0.00 0.00 3.20 305.76
44 13.15 0.00 0.00 3.00 300.54
45 12.39 0.00 0.00 3.20 298.82
46 11.63 0.00 0.00 3.60 298.71
47 10.87 0.00 0.00 3.20 294.32
48 10.11 0.00 0.00 4.50 292.77
49 9.49 0.00 0.00 5.00 291.73
50 8.79 0.00 0.00 4.50 291.87
51 8.10 0.00 0.00 5.20 288.97
52 7.71 0.00 0.00 3.40 286.21
53 7.32 0.00 0.00 2.70 286.86
54 7.04 0.00 0.00 2.20 285.25
55 6.76 0.00 0.00 2.80 280.46
56 8.36 74.46 327.57 2.20 280.98
57 10.10 235.88 559.95 2.20 280.55
58 11.85 397.52 692.95 2.30 279.02
59 13.38 520.76 764.50 2.10 276.05
60 14.61 596.05 845.96 2.50 274.32
61 15.39 594.50 844.96 3.00 269.74
62 15.69 517.85 779.21 3.00 270.14
63 15.53 402.64 751.07 3.00 273.81
64 14.69 236.81 583.56 3.40 277.78
65 13.37 74.01 283.52 4.20 282.93
66 12.67 0.00 0.00 4.70 284.93
67 11.98 0.00 0.00 3.40 284.37
68 11.28 0.00 0.00 2.60 283.32
69 10.59 0.00 0.00 2.50 281.43
70 9.89 0.00 0.00 3.70 282.48
71 9.19 0.00 0.00 3.70 277.55
72 8.50 0.00 0.00 5.40 279.18
73 8.13 0.00 0.00 5.20 277.80
74 7.70 0.00 0.00 5.70 275.79
75 7.27 0.00 0.00 6.20 275.39
76 7.02 0.00 0.00 9.90 275.91
77 6.78 0.00 0.00 6.90 277.05
78 6.60 0.00 0.00 5.20 274.92
79 6.42 0.00 0.00 5.00 278.33
80 8.26 74.46 330.76 3.90 284.72
81 10.25 234.87 553.76 3.90 283.27
82 12.25 396.16 688.59 4.70 287.20
83 13.91 503.17 688.83 6.20 279.62
84 15.32 589.85 801.54 5.40 280.13
85 16.22 585.52 803.59 5.40 284.11
86 16.61 518.68 774.32 5.40 284.04
87 16.46 397.86 716.02 4.20 286.55
88 15.57 240.09 591.46 5.00 289.45
89 14.14 77.39 298.63 3.90 299.94
90 13.85 0.00 0.00 2.30 305.62
91 13.56 0.00 0.00 2.00 303.44
92 13.27 0.00 0.00 1.70 302.32
93 12.98 0.00 0.00 2.20 302.16
94 12.69 0.00 0.00 2.30 304.72
95 12.40 0.00 0.00 1.10 307.22
96 12.11 0.00 0.00 1.60 309.26
97 12.06 0.00 0.00 2.70 307.35
98 12.03 0.00 0.00 2.60 306.28
99 12.00 0.00 0.00 3.00 306.25
100 12.00 0.00 0.00 3.60 306.15
101 11.99 0.00 0.00 4.50 309.00
102 11.99 0.00 0.00 4.70 313.36
103 11.98 0.00 0.00 3.40 321.69
104 12.69 26.57 0.00 3.40 338.52
105 13.46 83.49 0.00 4.50 342.54
106 14.19 130.78 0.00 5.20 329.75
107 14.19 132.79 0.00 6.00 346.21
108 14.80 136.70 0.00 5.40 352.89
109 15.16 178.85 0.66 4.20 336.47
110 15.51 203.91 6.66 3.20 330.45
111 15.49 140.38 0.00 3.00 347.07
112 15.26 77.19 0.00 2.80 353.93
113 14.72 20.90 0.00 2.50 354.36
114 14.57 0.00 0.00 2.60 352.34
115 14.29 0.00 0.00 2.70 349.49
116 14.00 0.00 0.00 1.80 346.66
117 13.71 0.00 0.00 2.60 343.84
118 13.42 0.00 0.00 2.30 341.04
119 13.14 0.00 0.00 2.20 338.25
120 12.85 0.00 0.00 3.00 335.48
121 12.51 0.00 0.00 2.70 332.41
122 12.15 0.00 0.00 2.60 329.59
123 11.79 0.00 0.00 3.60 329.73
124 11.60 0.00 0.00 4.20 326.48
125 11.41 0.00 0.00 3.40 326.98
126 11.28 0.00 0.00 3.90 322.56
127 11.15 0.00 0.00 4.70 320.42
128 12.74 63.39 197.37 5.00 323.39
129 14.57 208.02 381.53 4.70 319.29
130 16.47 362.69 518.43 5.00 318.92
131 17.96 447.41 443.65 5.00 313.20
132 19.34 545.94 647.11 3.90 311.04
133 20.20 551.10 649.43 3.60 311.59
134 20.65 498.66 627.33 3.90 314.43
135 20.48 351.07 448.68 3.70 320.32
136 19.75 223.65 443.17 2.80 322.01
137 18.54 72.02 207.06 2.70 323.09
138 17.99 0.00 0.00 1.50 327.91
139 17.45 0.00 0.00 1.30 326.31
140 16.90 0.00 0.00 0.80 322.49
141 16.35 0.00 0.00 1.70 324.65
142 15.81 0.00 0.00 1.50 323.79
143 15.26 0.00 0.00 0.80 323.87
144 14.71 0.00 0.00 0.50 324.52
145 14.24 0.00 0.00 0.90 322.17
146 13.73 0.00 0.00 0.70 324.09
147 13.22 0.00 0.00 1.30 329.32
148 12.94 0.00 0.00 1.10 330.39
149 12.67 0.00 0.00 1.70 329.01
150 12.47 0.00 0.00 1.50 327.08
151 12.27 0.00 0.00 2.30 325.39
152 13.22 39.36 6.12 2.50 327.98
153 14.84 172.84 162.28 1.70 320.23
154 15.59 200.64 30.69 1.60 326.82
155 16.51 292.25 60.67 2.30 324.03
156 17.33 349.13 105.08 2.60 324.79
157 17.98 376.21 139.10 2.80 325.93
158 18.52 400.19 270.01 2.70 321.07
159 18.82 368.98 516.44 3.20 319.05
160 18.59 235.50 523.10 2.70 317.69
161 17.73 75.67 267.87 3.40 321.70
162 17.18 0.00 0.00 2.00 326.54
163 16.64 0.00 0.00 1.80 325.50
164 16.10 0.00 0.00 2.30 329.59
