# Location:	Hot/Abu Dhabi Airport, Year: 2021-2040, Longitude: -54.650, STD Longitude: -55, Latitude: 24.430	
# NB: The longitudes are defined negative for values to the east and positive to the west.
TIME ta Ghoris Gbn w10 EL
1 16.91 0.00 0.00 3.00 350.47
2 15.98 0.00 0.00 2.80 347.64
3 15.05 0.00 0.00 3.20 348.23
4 14.55 0.00 0.00 2.50 346.12
5 14.06 0.00 0.00 2.30 343.38
6 13.71 0.00 0.00 2.10 341.40
7 13.36 0.00 0.00 2.30 342.38
8 14.33 42.60 122.66 2.60 340.37
9 16.24 207.29 484.02 1.80 336.06
10 18.30 389.93 626.07 1.80 333.00
11 20.17 534.53 699.93 1.70 327.19
12 21.68 621.21 703.84 2.80 329.24
13 22.87 670.87 770.54 3.30 329.27
14 23.59 637.98 752.71 3.70 327.83
15 23.65 484.15 563.80 4.20 334.04
16 23.09 337.37 493.54 4.00 333.31
17 21.86 148.15 243.52 4.20 339.21
18 20.38 23.72 0.00 4.70 339.69
19 19.54 0.00 0.00 4.00 344.57
20 18.69 0.00 0.00 3.00 340.90
21 17.85 0.00 0.00 3.00 339.94
22 17.01 0.00 0.00 3.30 339.63
23 16.17 0.00 0.00 3.70 341.05
24 15.33 0.00 0.00 3.00 342.38
25 14.74 0.00 0.00 4.20 341.70
26 14.13 0.00 0.00 5.40 339.58
27 13.52 0.00 0.00 5.40 336.89
28 13.22 0.00 0.00 6.00 334.74
29 12.91 0.00 0.00 6.00 333.36
30 12.70 0.00 0.00 4.40 331.35
31 12.49 0.00 0.00 4.00 329.69
32 13.41 35.79 33.13 3.20 334.20
33 14.92 153.31 117.46 5.70 337.58
34 16.79 310.96 288.03 5.70 334.60
35 18.79 476.71 429.31 5.40 327.82
36 21.03 675.18 779.44 6.90 320.59
37 22.64 705.99 789.28 6.30 318.91
38 23.20 545.88 428.78 7.20 328.36
39 23.64 552.80 737.14 5.40 322.53
40 23.33 372.64 679.66 4.70 327.42
41 22.28 189.65 487.74 6.00 330.66
42 20.77 32.03 87.04 4.90 329.99
43 19.87 0.00 0.00 3.00 333.83
44 18.96 0.00 0.00 2.80 328.38
45 18.05 0.00 0.00 3.00 324.91
46 17.15 0.00 0.00 3.50 325.36
47 16.24 0.00 0.00 3.00 328.32
48 15.33 0.00 0.00 4.40 329.58
49 14.48 0.00 0.00 4.70 330.91
50 13.57 0.00 0.00 4.20 332.99
51 12.66 0.00 0.00 4.90 336.68
52 12.18 0.00 0.00 3.20 334.66
53 11.69 0.00 0.00 2.50 332.21
54 11.35 0.00 0.00 2.00 328.68
55 11.01 0.00 0.00 2.60 330.21
56 11.96 39.74 56.52 2.00 332.30
57 13.75 186.15 350.37 2.00 333.12
58 15.81 365.00 496.80 2.30 328.18
59 17.29 440.61 325.67 2.00 329.33
60 19.30 665.61 756.67 2.30 318.91
61 20.64 671.60 764.08 2.80 318.92
62 21.37 613.83 692.32 3.00 322.78
63 21.58 509.27 658.78 2.80 327.72
64 21.26 382.71 723.27 3.30 325.05
65 20.20 197.35 542.00 4.00 330.95
66 18.69 34.15 109.59 4.70 331.65
67 17.89 0.00 0.00 3.30 333.59
68 17.09 0.00 0.00 2.50 334.17
69 16.29 0.00 0.00 2.40 332.93
70 15.50 0.00 0.00 3.70 332.21
71 14.70 0.00 0.00 3.70 328.58
72 13.90 0.00 0.00 5.40 327.31
73 13.35 0.00 0.00 4.90 324.87
74 12.76 0.00 0.00 5.70 322.05
