# Location:	Mediterranean/Rome Airport Campino, Year: 2021-2040, Longitude: -12.583, STD longitude: -15, Latitude: 41.800	
# NB: The longitudes are defined negative for values to the east and positive to the west.
TIME ta Ghoris Gbn w10 EL
1 4.21 0.00 0.00 2.20 272.19
2 3.61 0.00 0.00 2.20 271.38
3 3.00 0.00 0.00 2.20 270.24
4 2.68 0.00 0.00 1.30 269.74
5 2.36 0.00 0.00 1.60 269.25
6 2.04 0.00 0.00 1.30 269.69
7 1.81 0.00 0.00 1.60 269.83
8 1.59 5.47 0.00 2.20 268.68
9 4.24 101.91 324.53 0.80 276.31
10 5.31 185.59 328.08 0.80 280.61
11 5.44 162.53 50.37 0.60 290.89
12 6.30 286.10 265.66 1.60 285.39
13 6.81 286.70 187.84 2.20 288.41
14 6.82 214.98 121.71 2.50 291.16
15 5.86 61.24 0.00 2.70 303.73
16 5.18 70.95 20.10 2.50 296.77
17 4.40 20.40 0.00 2.90 294.18
18 3.95 0.00 0.00 3.51 291.53
19 3.50 0.00 0.00 2.90 286.25
20 3.05 0.00 0.00 2.20 282.82
21 2.61 0.00 0.00 2.40 282.09
22 2.16 0.00 0.00 2.90 278.00
23 1.71 0.00 0.00 3.51 273.50
24 1.26 0.00 0.00 2.50 271.63
25 0.94 0.00 0.00 4.01 267.85
26 0.62 0.00 0.00 6.21 263.08
27 0.30 0.00 0.00 5.11 263.43
28 0.14 0.00 0.00 5.81 261.26
29 -0.02 0.00 0.00 6.91 258.82
30 -0.18 0.00 0.00 4.01 255.02
31 -0.29 0.00 0.00 3.51 254.74
32 -0.39 5.42 0.00 2.50 252.40
33 3.32 114.84 582.83 5.41 259.89
34 5.38 241.60 760.72 5.11 263.32
35 7.12 340.26 679.17 4.01 265.10
36 7.53 282.19 230.91 5.41 275.21
37 7.94 309.06 312.16 4.01 274.05
38 7.49 208.69 94.40 5.11 280.71
39 7.17 208.04 295.51 3.00 273.13
40 6.22 106.06 144.51 2.40 276.14
41 4.91 13.23 0.00 3.51 271.89
42 4.47 0.00 0.00 2.90 271.89
43 4.02 0.00 0.00 1.30 271.23
44 3.57 0.00 0.00 1.60 266.94
45 3.12 0.00 0.00 2.00 265.56
46 2.67 0.00 0.00 2.50 265.49
47 2.22 0.00 0.00 2.00 261.91
48 1.77 0.00 0.00 3.81 260.65
49 1.33 0.00 0.00 4.31 258.51
50 0.85 0.00 0.00 3.81 258.46
51 0.37 0.00 0.00 3.81 255.94
52 0.11 0.00 0.00 2.00 253.55
53 -0.15 0.00 0.00 1.80 253.90
54 -0.40 0.00 0.00 1.20 252.26
55 -0.58 0.00 0.00 2.20 249.30
