# Location:	Subtropic/Chennai airport, Year: 2021-2040, Longitude: -80.183, STD longitude: -82.5, Latitude: 13.000	
# NB: The longitudes are defined negative for values to the east and positive to the west.
TIME ta Ghoris Gbn w10 EL
1 22.90 0.00 0.00 0.90 369.59
2 22.02 0.00 0.00 0.80 370.20
3 21.14 0.00 0.00 1.20 367.95
4 20.65 0.00 0.00 0.50 366.95
5 20.16 0.00 0.00 0.50 366.75
6 19.81 0.00 0.00 0.50 368.15
7 19.45 11.71 0.00 0.60 367.16
8 22.08 149.62 389.31 1.20 376.68
9 23.84 354.59 549.60 0.30 376.21
10 25.39 549.37 677.22 0.30 373.20
11 26.73 699.45 708.69 0.20 368.82
12 27.77 779.99 698.58 1.80 373.09
13 28.51 809.28 747.33 2.40 370.97
14 28.89 756.35 760.09 3.21 374.03
15 28.89 626.85 728.33 3.81 376.72
16 28.37 448.88 673.54 2.71 379.61
17 27.34 234.81 480.64 3.51 382.38
18 26.00 45.14 118.86 4.11 390.29
19 25.45 0.00 0.00 2.71 393.65
20 24.99 0.00 0.00 1.20 397.30
21 24.38 0.00 0.00 1.50 399.08
22 23.76 0.00 0.00 1.80 399.27
23 23.14 0.00 0.00 2.71 397.34
24 22.53 0.00 0.00 1.30 395.33
25 22.31 0.00 0.00 3.51 397.41
26 22.09 0.00 0.00 6.81 399.53
27 21.88 0.00 0.00 4.41 400.03
28 21.77 0.00 0.00 5.21 401.96
29 21.67 0.00 0.00 6.21 402.37
30 21.60 0.00 0.00 2.71 403.95
31 21.53 4.94 0.00 2.00 407.85
32 22.39 39.53 0.00 1.10 409.19
33 22.91 87.50 0.00 4.11 410.85
34 23.95 206.77 7.36 3.81 407.42
35 23.71 65.43 0.00 2.40 414.75
36 25.67 596.08 300.83 4.11 383.81
37 26.68 507.06 134.67 2.40 393.18
38 27.09 395.75 37.02 3.51 398.21
39 27.20 314.20 38.26 1.50 403.59
40 27.29 319.95 184.52 0.80 395.72
41 27.28 274.61 556.03 2.40 380.60
42 26.63 64.78 354.15 1.50 382.52
43 26.02 0.00 0.00 0.40 381.78
44 25.41 0.00 0.00 0.50 378.14
45 24.89 0.00 0.00 0.90 376.90
46 24.22 0.00 0.00 1.60 377.39
47 23.54 0.00 0.00 1.10 376.71
