# Location:	Temperate/London City Center, Year: 2021-2040, Longitude: 0.117, STD longitude: 0.0, Latitude: 51.517	
# NB: The longitudes are defined negative for values to the east and positive to the west.
TIME ta Ghoris Gbn w10 EL
1 1.59 0.00 0.00 3.20 277.14
2 1.35 0.00 0.00 3.20 277.44
3 1.11 0.00 0.00 3.20 277.39
4 0.99 0.00 0.00 2.60 277.52
5 0.86 0.00 0.00 2.80 277.68
6 0.74 0.00 0.00 2.60 279.04
7 0.66 0.00 0.00 2.80 279.94
8 0.57 0.00 0.00 3.10 280.14
9 1.17 14.56 0.00 2.20 281.27
10 1.78 44.47 0.00 2.10 280.22
11 2.29 66.77 0.00 1.70 281.42
12 3.08 118.70 54.36 2.60 279.53
13 3.86 156.06 180.41 2.90 277.38
14 4.29 144.01 274.57 3.20 274.59
15 4.46 119.50 323.40 3.60 270.17
16 3.92 34.98 274.37 3.20 272.48
17 3.65 0.00 0.00 3.80 273.86
18 3.38 0.00 0.00 4.30 274.16
19 3.11 0.00 0.00 3.80 271.43
20 2.84 0.00 0.00 3.20 270.78
21 2.56 0.00 0.00 3.40 273.27
22 2.29 0.00 0.00 3.80 271.80
23 2.02 0.00 0.00 4.50 269.79
24 1.75 0.00 0.00 3.60 270.91
25 1.50 0.00 0.00 5.00 269.32
26 1.26 0.00 0.00 6.30 266.49
27 1.01 0.00 0.00 5.70 269.93
28 0.88 0.00 0.00 6.60 270.00
29 0.76 0.00 0.00 7.30 269.72
30 0.63 0.00 0.00 5.70 267.71
31 0.55 0.00 0.00 5.20 270.01
32 0.47 0.00 0.00 4.30 269.72
33 0.94 12.97 0.00 6.60 271.07
34 1.75 57.47 37.23 6.60 272.63
35 1.96 53.28 0.00 5.70 277.96
36 2.74 126.06 73.08 7.00 269.12
37 3.26 134.31 77.18 6.00 268.83
38 3.56 126.35 148.05 6.60 267.78
39 3.22 47.24 0.00 5.20 275.00
40 2.77 21.73 23.39 4.30 274.88
41 2.52 0.00 0.00 5.70 273.63
42 2.28 0.00 0.00 5.00 275.03
43 2.03 0.00 0.00 3.40 275.74
44 1.79 0.00 0.00 3.40 272.41
45 1.55 0.00 0.00 3.80 272.31
46 1.30 0.00 0.00 4.30 273.73
47 1.06 0.00 0.00 3.80 271.14
48 0.81 0.00 0.00 5.50 271.21
49 0.58 0.00 0.00 5.70 270.26
50 0.34 0.00 0.00 5.50 271.91
51 0.11 0.00 0.00 5.70 270.61
52 -0.01 0.00 0.00 3.80 269.08
53 -0.13 0.00 0.00 3.60 270.88
54 -0.24 0.00 0.00 2.90 270.25
55 -0.32 0.00 0.00 3.80 267.82
56 -0.40 0.00 0.00 2.80 265.20
57 0.08 11.79 0.00 2.60 268.40
58 0.39 27.02 0.00 2.60 268.60
59 0.72 44.20 0.00 2.30 270.02
60 0.77 32.40 0.00 2.40 271.97
61 1.34 98.69 19.50 2.80 258.94
62 2.33 189.66 430.51 2.90 243.27
63 2.72 135.44 573.94 2.60 245.19
64 2.40 39.29 332.35 3.10 246.37
65 2.13 0.00 0.00 3.80 248.06
66 1.85 0.00 0.00 4.50 247.20
67 1.58 0.00 0.00 3.40 248.27
68 1.31 0.00 0.00 2.90 248.92
69 1.03 0.00 0.00 2.80 248.80
70 0.76 0.00 0.00 4.50 251.36
71 0.49 0.00 0.00 4.50 248.49
72 0.22 0.00 0.00 6.30 251.60
73 -0.05 0.00 0.00 6.00 251.09
74 -0.40 0.00 0.00 7.00 250.28
75 -0.74 0.00 0.00 7.00 250.94
76 -0.95 0.00 0.00 9.90 252.39
77 -1.16 0.00 0.00 8.60 254.40
78 -1.36 0.00 0.00 6.30 253.29
79 -1.53 0.00 0.00 6.30 256.20
80 -1.69 0.00 0.00 5.20 258.15
81 -1.24 15.16 0.00 4.70 262.56
82 -0.46 65.13 75.62 5.20 268.11
83 1.00 173.03 346.60 6.30 256.10
84 1.12 107.24 28.86 5.50 271.14
85 1.27 122.28 60.69 5.20 271.43
86 1.69 183.18 385.52 5.00 258.04
87 1.69 125.30 407.53 3.80 258.37
88 1.09 40.75 318.76 4.50 257.36
89 0.90 0.00 0.00 3.80 262.70
90 0.72 0.00 0.00 2.40 261.68
91 0.54 0.00 0.00 2.20 258.59
92 0.35 0.00 0.00 2.20 256.39
93 0.17 0.00 0.00 2.60 255.00
94 -0.01 0.00 0.00 2.80 255.89
95 -0.19 0.00 0.00 1.70 256.73
96 -0.38 0.00 0.00 2.10 257.19
97 -0.28 0.00 0.00 3.10 256.36
98 -0.17 0.00 0.00 2.90 250.25
99 -0.06 0.00 0.00 3.40 249.56
100 0.00 0.00 0.00 4.10 248.68
101 0.07 0.00 0.00 4.70 250.33
102 0.13 0.00 0.00 5.20 253.24
103 0.17 0.00 0.00 3.80 257.57
104 0.21 0.00 0.00 3.60 260.63
105 1.02 16.28 0.00 4.70 261.80
106 3.01 96.88 362.65 5.50 269.20
107 4.97 175.74 433.75 6.30 274.10
108 5.78 161.34 216.53 5.70 284.21
109 7.18 254.48 651.80 4.50 272.56
110 7.92 230.15 743.46 3.60 272.27
111 7.81 145.98 645.85 3.40 278.64
112 6.64 41.03 339.31 3.20 276.49
113 6.66 0.00 0.00 2.60 279.36
114 6.68 0.00 0.00 2.90 280.52
115 6.69 0.00 0.00 2.90 283.29
116 6.71 0.00 0.00 2.10 281.84
117 6.72 0.00 0.00 2.90 283.68
118 6.74 0.00 0.00 2.60 287.43
119 6.76 0.00 0.00 2.40 288.44
120 6.77 0.00 0.00 3.40 288.57
121 6.74 0.00 0.00 3.20 285.31
122 6.72 0.00 0.00 3.20 286.32
123 6.70 0.00 0.00 3.80 289.49
124 6.69 0.00 0.00 4.50 291.80
125 6.69 0.00 0.00 4.50 294.72
126 6.68 0.00 0.00 5.20 295.92
127 6.68 0.00 0.00 5.70 295.52
128 6.68 0.00 0.00 6.00 296.46
129 7.93 27.98 110.67 5.50 298.35
130 9.82 113.06 282.99 5.50 303.71
131 10.48 114.90 117.15 5.00 313.03
132 11.57 183.03 326.25 3.80 308.53
133 12.18 177.17 277.94 3.20 311.55
134 12.81 207.93 491.95 3.60 305.70
135 12.41 99.27 196.07 3.40 317.99
136 11.33 14.85 0.00 2.60 318.16
137 11.25 0.00 0.00 2.50 316.90
138 11.18 0.00 0.00 1.50 318.15
139 11.10 0.00 0.00 1.50 318.45
140 11.03 0.00 0.00 1.20 316.66
141 10.95 0.00 0.00 2.10 320.49
142 10.88 0.00 0.00 1.90 321.48
143 10.80 0.00 0.00 1.30 323.39
144 10.73 0.00 0.00 0.90 325.85
145 10.61 0.00 0.00 1.20 324.54
146 10.48 0.00 0.00 1.00 328.07
