# Location:	Tropical/New Orleans Airport, Year: 2021-2040, Longitude: 90.250, STD longitude: 90.0, Latitude: 29.983	
# NB: The longitudes are defined negative for values to the east and positive to the west.
TIME ta Ghoris Gbn w10 EL
1 6.04 0.00 0.00 3.19 283.61
2 5.56 0.00 0.00 3.09 285.37
3 5.07 0.00 0.00 3.39 284.45
4 4.84 0.00 0.00 2.79 284.31
5 4.61 0.00 0.00 2.60 284.96
6 4.47 0.00 0.00 2.50 287.04
7 4.32 0.00 0.00 2.60 286.80
8 6.04 54.66 201.55 2.99 292.01
9 8.49 211.53 436.78 2.30 290.66
10 10.91 364.87 588.23 2.30 288.26
11 12.87 461.02 553.76 2.10 284.56
12 14.29 498.60 461.11 3.09 289.41
13 15.64 573.73 704.52 3.59 282.94
14 16.46 540.05 726.81 4.19 284.17
15 15.81 283.89 172.37 4.39 297.67
16 14.69 176.88 160.82 4.19 298.68
17 13.03 28.37 0.00 4.69 309.14
18 12.09 0.57 0.00 5.19 305.57
19 11.14 0.00 0.00 4.19 306.49
20 10.20 0.00 0.00 3.39 306.56
21 9.26 0.00 0.00 3.39 305.16
22 8.32 0.00 0.00 3.79 302.11
23 7.38 0.00 0.00 4.19 296.87
24 6.44 0.00 0.00 3.39 291.60
25 5.38 0.00 0.00 4.39 290.29
26 4.21 0.00 0.00 5.69 287.29
27 3.05 0.00 0.00 5.89 282.64
28 2.42 0.00 0.00 6.39 280.37
29 1.78 0.00 0.00 6.39 276.67
30 1.33 0.00 0.00 4.89 274.42
31 0.87 0.00 0.00 4.69 271.91
32 2.39 53.10 158.14 3.79 272.39
33 5.60 270.37 666.06 6.09 265.39
34 8.49 455.37 923.82 6.39 268.80
35 10.92 592.54 980.41 6.09 263.41
36 12.81 668.36 1001.71 7.59 263.07
37 14.04 670.59 1001.21 6.99 265.89
38 14.62 607.22 984.69 8.18 265.94
39 14.53 475.89 934.74 6.39 270.86
40 13.41 297.86 816.80 5.39 273.12
41 11.48 102.57 573.96 6.69 275.49
42 10.38 0.93 0.00 5.89 272.48
43 9.27 0.00 0.00 3.79 274.83
44 8.16 0.00 0.00 3.59 271.34
45 7.05 0.00 0.00 3.79 269.98
46 5.94 0.00 0.00 4.19 270.71
47 4.83 0.00 0.00 3.59 270.22
48 3.73 0.00 0.00 5.19 267.47
49 3.05 0.00 0.00 5.39 266.59
50 2.23 0.00 0.00 4.89 267.04
51 1.41 0.00 0.00 5.69 264.60
52 0.93 0.00 0.00 3.99 265.13
53 0.45 0.00 0.00 3.19 266.21
54 0.08 0.00 0.00 2.70 263.61
55 -0.28 0.00 0.00 3.39 263.46
56 0.48 37.99 28.08 2.60 267.93
57 1.85 166.33 145.87 2.70 265.79
58 2.84 245.35 114.95 2.79 270.06
59 4.62 474.49 505.46 2.60 255.75
60 5.12 365.37 141.50 2.99 263.57
61 5.41 367.50 131.43 3.39 264.60
62 5.61 378.83 168.51 3.59 262.65
63 5.51 304.55 215.54 3.39 260.75
64 4.68 139.48 59.76 3.79 265.37
65 3.72 72.30 168.54 4.69 258.84
66 3.08 1.45 0.00 5.19 258.03
67 2.44 0.00 0.00 3.79 260.30
68 1.79 0.00 0.00 2.99 257.49
69 1.15 0.00 0.00 2.79 256.64
70 0.51 0.00 0.00 4.19 255.49
71 -0.13 0.00 0.00 4.19 253.79
72 -0.78 0.00 0.00 5.89 250.87
73 -0.81 0.00 0.00 5.69 252.72
74 -0.92 0.00 0.00 6.09 251.64
75 -1.03 0.00 0.00 6.69 252.02
76 -1.12 0.00 0.00 9.78 252.09
77 -1.21 0.00 0.00 7.59 250.66
78 -1.29 0.00 0.00 5.69 249.38
79 -1.38 0.00 0.00 5.39 248.38
80 0.26 54.64 231.84 4.69 255.07
81 3.16 244.70 663.71 4.69 252.87
82 5.83 412.59 826.07 5.39 252.24
83 8.14 541.48 882.87 6.99 250.15
84 9.95 613.33 905.70 6.09 252.30
85 11.13 615.35 894.98 6.09 251.00
86 11.70 557.77 885.70 6.09 255.81
87 11.63 434.46 805.28 4.89 259.13
88 10.53 260.57 645.47 5.69 263.55
89 8.72 89.41 397.08 4.69 264.10
90 8.08 1.30 0.00 2.79 265.51
91 7.44 0.00 0.00 2.50 269.45
92 6.80 0.00 0.00 2.30 266.71
93 6.15 0.00 0.00 2.70 267.17
94 5.51 0.00 0.00 2.79 267.03
95 4.87 0.00 0.00 1.70 265.67
96 4.23 0.00 0.00 2.20 264.70
97 3.91 0.00 0.00 3.09 264.32
98 3.50 0.00 0.00 2.99 261.88
99 3.08 0.00 0.00 3.39 263.45
100 2.83 0.00 0.00 3.99 264.11
101 2.58 0.00 0.00 4.89 262.84
102 2.38 0.00 0.00 5.19 262.03
103 2.18 0.00 0.00 3.79 265.35
