# Location:	Wet/Manaus city center, Year: 2021-2040, Longitude: 60.017, STD longitude: 60.0, Latitude: -3.133	
# NB: The longitudes are defined negative for values to the east and positive to the west.
TIME ta Ghoris Gbn w10 EL
1 24.85 0.00 0.00 0.91 421.09
2 24.63 0.00 0.00 0.91 418.39
3 24.38 0.00 0.00 0.91 417.88
4 24.25 0.00 0.00 0.71 417.72
5 24.11 0.00 0.00 0.91 417.57
6 24.01 0.00 0.00 0.71 419.79
7 24.69 37.77 0.00 0.71 423.45
8 25.56 134.17 5.39 0.91 423.21
9 26.44 230.92 10.94 0.61 424.61
10 27.43 354.13 34.02 0.61 418.97
11 27.41 290.08 19.10 0.40 432.46
12 29.00 610.70 159.06 0.71 415.98
13 29.74 564.32 85.29 0.71 422.32
14 30.11 486.33 45.31 0.91 424.04
15 30.16 402.60 37.98 0.91 433.75
16 30.21 345.83 117.27 0.71 426.37
17 29.81 258.24 254.32 0.91 425.58
18 29.33 116.56 301.16 1.11 416.80
19 28.78 1.88 0.00 0.91 413.11
20 28.23 0.00 0.00 0.71 413.69
21 27.68 0.00 0.00 0.91 414.34
22 27.13 0.00 0.00 0.91 411.49
23 26.58 0.00 0.00 1.11 408.19
24 26.02 0.00 0.00 0.91 407.54
25 25.57 0.00 0.00 1.11 404.19
26 25.14 0.00 0.00 1.42 400.61
27 24.70 0.00 0.00 1.42 402.21
28 24.50 0.00 0.00 1.62 401.61
29 24.29 0.00 0.00 1.62 400.72
30 24.16 0.00 0.00 1.42 400.64
31 25.16 82.65 247.06 1.42 405.47
32 26.82 357.32 635.38 1.11 392.66
33 27.30 336.04 117.34 1.62 414.55
34 28.26 576.70 285.66 1.62 403.18
35 29.30 763.41 460.17 1.62 398.83
36 29.73 630.89 181.14 2.02 409.06
37 29.91 555.28 121.51 1.62 413.33
38 29.12 152.39 1.13 2.02 433.70
39 28.22 63.74 0.00 1.62 445.98
40 27.46 47.80 0.00 1.42 441.32
41 27.05 28.64 0.00 1.62 439.10
42 26.53 9.55 0.00 1.62 436.53
43 26.20 0.14 0.00 1.11 433.31
44 25.87 0.00 0.00 1.11 428.60
45 25.54 0.00 0.00 1.11 425.47
46 25.15 0.00 0.00 1.42 423.38
47 24.84 0.00 0.00 1.11 418.36
48 24.04 0.00 0.00 1.62 416.24
49 24.12 0.00 0.00 1.62 416.08
50 23.24 0.00 0.00 1.62 411.89
51 23.24 0.00 0.00 1.62 409.22
52 23.00 0.00 0.00 1.42 405.30
53 22.77 0.00 0.00 1.42 403.69
54 22.57 0.00 0.00 1.11 397.58
55 23.48 63.36 167.04 1.42 397.64
56 23.35 41.44 0.00 0.91 415.90
57 23.54 80.09 0.00 0.91 416.80
58 24.37 263.95 11.20 0.91 407.39
59 24.56 177.82 1.08 0.71 411.43
60 24.72 189.54 2.97 0.71 410.85
61 25.39 432.58 62.41 0.91 398.01
62 26.29 627.85 230.24 0.91 387.96
63 27.26 774.33 678.73 0.91 375.85
64 27.87 676.17 787.04 0.91 371.72
65 27.61 240.77 195.89 1.11 396.63
66 27.14 132.20 352.23 1.42 384.59
67 26.68 2.34 0.00 1.11 384.09
68 26.21 0.00 0.00 0.91 385.09
69 25.74 0.00 0.00 0.91 384.10
70 25.28 0.00 0.00 1.11 385.62
71 24.81 0.00 0.00 1.42 382.01
72 24.35 0.00 0.00 1.62 384.00
73 23.99 0.00 0.00 1.62 383.00
74 23.64 0.00 0.00 2.02 381.81
75 23.29 0.00 0.00 2.02 381.96
76 23.09 0.00 0.00 3.04 386.07
77 22.95 0.00 0.00 2.53 390.09
78 22.79 0.00 0.00 2.02 387.80
79 24.08 75.07 139.82 2.02 395.58
80 24.07 94.39 0.00 1.62 417.66
81 24.29 70.38 0.00 1.62 423.12
82 24.22 61.48 0.00 1.62 425.65
83 25.20 348.33 17.52 2.02 410.03
84 25.82 336.78 22.96 2.02 410.37
85 26.97 617.53 185.12 2.02 399.83
86 28.44 887.55 655.50 1.62 383.94
87 29.31 746.38 658.78 1.42 387.55
88 29.80 630.23 751.37 1.62 384.73
89 29.46 259.01 218.44 1.42 409.84
90 28.72 77.88 71.35 0.91 416.42
91 28.19 2.44 0.00 0.91 411.05
92 27.66 0.00 0.00 0.71 409.70
93 27.12 0.00 0.00 0.91 405.85
94 26.59 0.00 0.00 0.91 404.34
95 26.06 0.00 0.00 0.61 402.74
96 25.53 0.00 0.00 0.71 400.72
97 24.94 0.00 0.00 0.71 394.97
98 24.26 0.00 0.00 0.61 389.56
99 23.58 0.00 0.00 1.11 385.04
100 23.19 0.00 0.00 1.11 381.37
